policy,pair,n,p5_bps,median_bps,p95_bps,share_at_floor,share_at_cap
MyHook@10000,ETH/SHIB,23838,100.0,100.0,100.0,0.0,0.0
MyHook@6000,ETH/SHIB,40524,60.0,60.0,60.0,0.0,0.0
MyHook@3000,ETH/SHIB,68994,30.0,30.0,30.0,0.0,0.0
MyHook@500,ETH/SHIB,132999,5.0,5.0,5.0,0.0,0.0
VolatilityHook,ETH/SHIB,34986,31.13,44.285,100.0,0.0,0.08955010575658835
MEVChargeHook,ETH/SHIB,33108,30.0,100.0,100.0,0.4697052072006766,0.5301437718980306
DAHook,ETH/SHIB,57759,5.0,32.0,82.0,0.01644765317959106,0.011617237140532212
BAHook,ETH/SHIB,40839,6.0,45.0,100.0,0.033938147359141996,0.06765591713802982
ABHook,ETH/SHIB,60725,24.722,30.04,35.67,0.0,0.0
MyHook@10000,ETH/USDC,20944,100.0,100.0,100.0,0.0,0.0
MyHook@6000,ETH/USDC,37747,60.0,60.0,60.0,0.0,0.0
MyHook@3000,ETH/USDC,65492,30.0,30.0,30.0,0.0,0.0
MyHook@500,ETH/USDC,123148,5.0,5.0,5.0,0.0,0.0
VolatilityHook,ETH/USDC,38015,28.08,38.43,67.96499999999979,0.0,0.013231619097724582
MEVChargeHook,ETH/USDC,57665,30.0,30.0,30.0,0.9923870632099193,0.0021156680828925693
DAHook,ETH/USDC,55424,5.0,32.0,69.0,0.015336316397228638,0.003554416859122402
BAHook,ETH/USDC,38023,6.0,45.0,100.0,0.03384793414512269,0.058385713910001844
ABHook,ETH/USDC,57351,27.62,30.02,32.49,0.0,0.0
MyHook@10000,USDC/USDT,8057,100.0,100.0,100.0,0.0,0.0
MyHook@6000,USDC/USDT,20507,60.0,60.0,60.0,0.0,0.0
MyHook@3000,USDC/USDT,40314,30.0,30.0,30.0,0.0,0.0
MyHook@500,USDC/USDT,74053,5.0,5.0,5.0,0.0,0.0
VolatilityHook,USDC/USDT,35089,20.38,20.92,21.63,0.0,0.0
MEVChargeHook,USDC/USDT,34509,30.0,30.0,30.0,1.0,0.0
DAHook,USDC/USDT,36130,10.0,30.0,51.0,0.004898975920287849,0.0
BAHook,USDC/USDT,30664,6.0,30.0,55.0,0.018784242108009393,0.0008478998173754239
ABHook,USDC/USDT,34779,29.79,29.97,30.15,0.0,0.0
