policy,regime,mean,sem,size,value
ABHook,high,38992.02750240968,970.097055120479,216,net_result_tt
ABHook,low,21182.332566626905,647.692893447707,216,net_result_tt
ABHook,mid,24563.94159003301,748.0597942969071,216,net_result_tt
BAHook,high,40525.01858610413,1062.542051816802,216,net_result_tt
BAHook,low,21254.613950408595,656.9157274597827,216,net_result_tt
BAHook,mid,24904.73574297428,780.2372629321993,216,net_result_tt
DAHook,high,39623.79240358253,982.635023442991,216,net_result_tt
DAHook,low,21499.256562866303,652.6038852340259,216,net_result_tt
DAHook,mid,24881.631350194486,751.1654887913543,216,net_result_tt
MEVChargeHook,high,37796.486613861234,982.8167399343752,216,net_result_tt
MEVChargeHook,low,19639.588846097773,621.0912338462451,216,net_result_tt
MEVChargeHook,mid,22727.150293042378,681.0943708696688,216,net_result_tt
MyHook@10000,high,27997.353007620408,768.8632611336241,216,net_result_tt
MyHook@10000,low,13454.97337081353,407.18148540135803,216,net_result_tt
MyHook@10000,mid,16365.972972027828,528.2337951003873,216,net_result_tt
MyHook@3000,high,40092.882030557135,979.4109622733238,216,net_result_tt
MyHook@3000,low,21934.332076206083,650.890675018115,216,net_result_tt
MyHook@3000,mid,25385.9292679507,754.0212039912022,216,net_result_tt
MyHook@500,high,8277.228802695394,612.3962189398743,216,net_result_tt
MyHook@500,low,6962.107728308907,218.96396805263316,216,net_result_tt
MyHook@500,mid,7523.752731796991,233.31898924447847,216,net_result_tt
MyHook@6000,high,40192.312779595064,1038.658030592766,216,net_result_tt
MyHook@6000,low,20816.03476867051,610.3958081423865,216,net_result_tt
MyHook@6000,mid,24336.64679687025,739.3614372443018,216,net_result_tt
VolatilityHook,high,37502.68735588108,1039.0346224570217,216,net_result_tt
VolatilityHook,low,19569.16348750814,619.4830952953802,216,net_result_tt
VolatilityHook,mid,23420.312567653742,790.6947293056593,216,net_result_tt
