policy,net_result,net_result_tt,disagrees,gap
MyHook@10000,7936.141265938853,8614.318980644412,False,678.1777147055582
MyHook@6000,11932.28880277074,12577.7960860572,False,645.5072832864607
MyHook@3000,11890.140046333187,12508.5322496476,False,618.3922033144136
MyHook@500,1643.913886965707,2195.4556356233866,False,551.5417486576796
VolatilityHook,10667.774241255414,11315.95213314233,False,648.177891886915
MEVChargeHook,10991.62359183625,11631.031443611726,False,639.4078517754751
DAHook,11709.328497455932,12327.5837682832,False,618.2552708272688
BAHook,11820.150126113815,12463.144111564443,False,642.9939854506283
ABHook,11348.667033325597,11969.665897365157,False,620.9988640395604
