policy,regime,mean,sem,size,value
ABHook,high,675.067604964334,1840.2441702454023,216,net_result
ABHook,low,2333.4279455405203,148.04176251403507,216,net_result
ABHook,mid,3075.570604311383,159.35305370792946,216,net_result
BAHook,high,1743.5127443496324,1718.6014779533743,216,net_result
BAHook,low,2293.542860674295,145.1147449048717,216,net_result
BAHook,mid,3099.6962430008416,163.9976183797101,216,net_result
DAHook,high,1317.3499024800144,1769.5389374050565,216,net_result
DAHook,low,2402.6239797191424,147.87216643714032,216,net_result
DAHook,mid,3133.3576012912276,158.15787600167351,216,net_result
MEVChargeHook,high,1317.8876643275728,1727.4461103195713,216,net_result
MEVChargeHook,low,2254.613636813997,146.21693458996108,216,net_result
MEVChargeHook,mid,3087.7283936655836,155.2040545979628,216,net_result
MyHook@10000,high,477.9101901767412,1705.9684590350525,216,net_result
MyHook@10000,low,1675.3818566148693,112.47820456810335,216,net_result
MyHook@10000,mid,2526.607604031227,132.41672509815234,216,net_result
MyHook@3000,high,1071.3872030978598,1839.1532079882902,216,net_result
MyHook@3000,low,2486.269554573637,149.4642986670271,216,net_result
MyHook@3000,mid,3269.125344213356,162.40695957131777,216,net_result
MyHook@500,high,-6121.3380174662625,1942.332654873856,216,net_result
MyHook@500,low,671.9753009818878,84.63752716382572,216,net_result
MyHook@500,mid,837.3755195367647,85.84229381407953,216,net_result
MyHook@6000,high,2016.8694034776863,1766.8775259739043,216,net_result
MyHook@6000,low,2416.3626059332973,146.65453104890656,216,net_result
MyHook@6000,mid,3383.464857437194,163.8190263394421,216,net_result
VolatilityHook,high,1105.2580323688228,1714.8281349440583,216,net_result
VolatilityHook,low,2035.0583856597902,135.00584121411896,216,net_result
VolatilityHook,mid,2862.4754139245815,158.3153807109978,216,net_result
