policy,uu_volume,arb_volume,uu_participation,uu_fee_share,uu_share_of_volume
MyHook@10000,161294.3606206625,153652.8708296697,0.10350630619254417,0.6903641839762792,0.5121313811139151
MyHook@6000,287438.7181266453,249963.46440078522,0.16127505228934147,0.6532368407339016,0.5348670464544933
MyHook@3000,482451.67500444455,465160.5356196657,0.26143324903910786,0.5990701387555791,0.5091235313300737
MyHook@500,791286.9209184197,1318623.240881517,0.41602951740959043,0.4536388638925412,0.3750334659952456
VolatilityHook,355715.83079808345,270108.6963732616,0.22543162769847536,0.5731735807512798,0.5683954772528301
MEVChargeHook,372202.7314751511,304121.9332634525,0.21619213625568973,0.6114426099022007,0.5503314471297682
DAHook,440057.64081176574,402596.74822665507,0.24390485864285535,0.5987443127028246,0.5222279104413486
BAHook,360410.11871981213,287979.8841152982,0.21263150513728207,0.6132952659852708,0.5558539106770694
ABHook,450141.83196023316,461376.9413901553,0.24652705342418926,0.5841243438351487,0.4938371486367602
