trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
111,513,0.9836010043444506,30.0,30.0,30.0
112,514,0.9798447070446981,30.0,30.0,30.0
113,663,1.061866400472389,301.0,30.0,30.0
114,670,1.0606252123906086,294.0,30.0,30.0
115,676,1.0653915034346775,318.0,30.0,30.0
116,692,1.0645434381418024,313.0,30.0,30.0
117,694,1.0639402904456778,310.0,30.0,30.0
118,695,1.068344998940903,332.0,30.0,30.0
119,696,1.0680450033078326,330.0,30.0,30.0
120,697,1.0685809364452232,333.0,30.0,30.0
121,698,1.0666091548560392,323.0,30.0,30.0
122,699,1.0625272624256665,303.0,30.0,30.0
123,700,1.0642552587901501,311.0,30.0,30.0
124,701,1.0640083855669364,310.0,30.0,30.0
125,702,1.0628339871367125,304.0,30.0,30.0
126,703,1.0631565188532333,305.0,30.0,30.0
127,705,1.0654648424699182,316.0,30.0,30.0
128,706,1.062743795667132,303.0,30.0,30.0
129,708,1.0621671494833882,300.0,30.0,30.0
130,712,1.0642441412044366,310.0,30.0,30.0
131,713,1.061683503468096,297.0,30.0,30.0
132,714,1.064577084700049,311.0,30.0,30.0
133,715,1.0642112024047754,309.0,30.0,30.0
134,716,1.0677984303640313,327.0,30.0,30.0
135,717,1.068467527619674,330.0,30.0,30.0
136,718,1.0633809582067264,305.0,30.0,30.0
137,728,1.0626195224705264,301.0,30.0,30.0
138,729,1.068963129817641,332.0,30.0,30.0
139,730,1.0662621635771825,318.0,30.0,30.0
140,731,1.066191282299145,318.0,30.0,30.0
141,732,1.066353977951903,319.0,30.0,30.0
142,733,1.0665888523019071,320.0,30.0,30.0
143,734,1.0630270367422157,302.0,30.0,30.0
144,735,1.0674998801378073,324.0,30.0,30.0
145,736,1.067189161578313,322.0,30.0,30.0
146,737,1.0680364584052249,326.0,30.0,30.0
147,738,1.0691090950477904,331.0,30.0,30.0
148,739,1.0678330400324505,325.0,30.0,30.0
149,740,1.0713163370598822,342.0,30.0,30.0
150,741,1.0734422870947553,352.0,30.0,30.0
151,742,1.0764953838046605,367.0,30.0,30.0
152,743,1.0832482946275463,419.0,30.0,30.0
153,744,1.0846969024942241,427.0,30.0,30.0
154,745,1.0841392359187985,423.0,30.0,30.0
155,746,1.0820603992390174,412.0,30.0,30.0
156,747,1.0843416104213341,424.0,30.0,30.0
157,748,1.0824267809222803,414.0,30.0,30.0
158,749,1.0802722072325064,384.0,30.0,30.0
159,750,1.0818266611643699,411.0,30.0,30.0
160,751,1.0886866511173674,446.0,30.0,30.0
161,752,1.084032188822951,421.0,30.0,30.0
162,753,1.0875317548125885,439.0,30.0,30.0
163,754,1.0962968935193345,1000.0,30.0,30.0
164,755,1.1006570961791524,1000.0,30.0,30.0
165,756,1.108254347931988,1000.0,30.0,30.0
166,758,1.1227055488512945,1000.0,30.0,30.0
167,759,1.1353405013430413,1000.0,30.0,30.0
168,760,1.1350552141296375,480.0,30.0,30.0
169,761,1.1318980402027032,464.0,30.0,30.0
170,762,1.1297496860212932,453.0,30.0,30.0
171,763,1.1340683249580148,475.0,30.0,30.0
172,764,1.1318114043692515,463.0,30.0,30.0
173,765,1.134027791495996,474.0,30.0,30.0
174,766,1.1350779307232228,479.0,30.0,30.0
175,767,1.1196890292434976,402.0,30.0,30.0
176,768,1.1202558537951783,404.0,30.0,30.0
177,769,1.1209956560396717,408.0,30.0,30.0
178,770,1.111961899067859,345.0,30.0,30.0
179,771,1.109839140546807,335.0,30.0,30.0
180,772,1.106653594854283,319.0,30.0,30.0
181,773,1.1066961067633816,319.0,30.0,30.0
182,774,1.1099518978819676,335.0,30.0,30.0
183,775,1.107489436596723,323.0,30.0,30.0
184,776,1.109864750090649,334.0,30.0,30.0
185,777,1.1165553335316467,384.0,30.0,30.0
186,778,1.115923347955967,381.0,30.0,30.0
187,779,1.1151371230424558,376.0,30.0,30.0
188,780,1.1095908718377605,332.0,30.0,30.0
189,782,1.1063746661484812,316.0,30.0,30.0
190,784,1.1066996190484137,318.0,30.0,30.0
191,787,1.108671866834977,327.0,30.0,30.0
192,788,1.117675787139112,388.0,30.0,30.0
193,789,1.1125144181989897,345.0,30.0,30.0
194,790,1.1127760590822109,363.0,30.0,30.0
195,791,1.1065554524351295,316.0,30.0,30.0
196,792,1.110337284459098,334.0,30.0,30.0
197,793,1.1084849489541722,325.0,30.0,30.0
198,802,1.1077023766541159,321.0,30.0,30.0
199,803,1.115250288772017,375.0,30.0,30.0
200,804,1.1094378686994815,329.0,30.0,30.0
201,805,1.1100286143907676,332.0,30.0,30.0
202,806,1.1101438822373917,332.0,30.0,30.0
203,807,1.1138225293532793,367.0,30.0,30.0
204,808,1.1124743652874847,360.0,30.0,30.0
205,809,1.1122230880770152,342.0,30.0,30.0
206,810,1.1081019423205714,322.0,30.0,30.0
207,811,1.1133427937446196,364.0,30.0,30.0
208,814,1.1078631262787633,320.0,30.0,30.0
209,815,1.1091057024723576,326.0,30.0,30.0
210,816,1.1092355600582373,326.0,30.0,30.0
211,817,1.1136642485991983,365.0,30.0,30.0
212,818,1.1140241505195172,366.0,30.0,30.0
213,819,1.1111433334053387,335.0,30.0,30.0
214,820,1.1142457053141481,367.0,30.0,30.0
215,821,1.115783222143795,375.0,30.0,30.0
216,822,1.1206611148802292,399.0,30.0,30.0
217,823,1.1225666664921412,409.0,30.0,30.0
218,824,1.1235518022920612,413.0,30.0,30.0
219,825,1.116564280275725,378.0,30.0,30.0
