policy,retained_volume,net_result_tt,value
ABHook,917140.4111519958,-232.40887425163925,net_result_tt
BAHook,652380.6545219393,62.9516311336167,net_result_tt
DAHook,847911.1820707736,-63.72349139490389,net_result_tt
MEVChargeHook,679818.5633182352,28.49895652407443,net_result_tt
MyHook@10000,317344.7873107341,156.946879825265,net_result_tt
MyHook@3000,953349.732173331,-131.1967515717828,net_result_tt
MyHook@500,2121159.183073769,-1995.063134343253,net_result_tt
MyHook@6000,541010.219472341,239.70264855267834,net_result_tt
VolatilityHook,628592.6598871682,78.72350262422539,net_result_tt
