kappa,policy,gas_price_wei,median,ci_low,ci_high,n_windows
0.03,VolatilityHook,5000000000,475.87755315641243,227.22207587101184,965.7411983124239,48
0.03,VolatilityHook,20000000000,484.22310705808025,209.68437804328232,1003.0799796613301,48
0.03,VolatilityHook,80000000000,536.5596985698098,202.22468412863782,1511.5105826489144,48
0.03,BAHook,5000000000,577.3528880517121,232.6199107758023,1223.5752692428114,48
0.03,BAHook,20000000000,184.41627682332376,-54.2116965518635,851.9547771386634,48
0.03,BAHook,80000000000,-29.107763505038406,-150.74586499270282,639.0367501315231,48
0.03,DAHook,5000000000,86.87313218091094,-46.8650546903732,365.78375744483674,48
0.03,DAHook,20000000000,-1.4267580488450449,-87.15624769294573,128.5857166429705,48
0.03,DAHook,80000000000,-24.288313877755627,-145.78513329845555,80.6590236752836,48
0.03,ABHook,5000000000,-68.14880292336943,-78.49214505084865,-52.1440545905366,48
0.03,ABHook,20000000000,-85.87574730835138,-130.74936335382313,-58.58897019777362,48
0.03,ABHook,80000000000,-113.66191188827338,-175.38046378263783,-40.02017636858477,48
0.03,MEVChargeHook,5000000000,-20.609990109530486,-104.04657798875951,497.6269529012061,48
0.03,MEVChargeHook,20000000000,89.45119108214772,-59.50405571917328,466.6688814727552,48
0.03,MEVChargeHook,80000000000,102.3559174869738,-125.18329464735552,737.6018701942903,48
0.1,VolatilityHook,5000000000,307.5295117036849,31.5449464078265,742.0343121008054,48
0.1,VolatilityHook,20000000000,171.19566362684395,-48.01942791711531,469.98440661713653,48
0.1,VolatilityHook,80000000000,191.94046179326392,-21.4832387122824,1085.2629619441977,48
0.1,BAHook,5000000000,459.5875346676771,-0.5930124860897195,1216.7683969541686,48
0.1,BAHook,20000000000,360.6172907421071,-123.0748964763552,759.3613824056802,48
0.1,BAHook,80000000000,6.098364009776674,-99.90958191084519,498.7899827288485,48
0.1,DAHook,5000000000,246.1505063028444,58.62218282441154,563.3491729155467,48
0.1,DAHook,20000000000,24.627727596299337,-77.26823770185945,152.6486661373783,48
0.1,DAHook,80000000000,-154.1909189249293,-257.39316429476276,-68.12264491819087,48
0.1,ABHook,5000000000,-104.18537517569939,-139.46319111377124,-78.13124446732036,48
0.1,ABHook,20000000000,-151.12300371922652,-206.758346948508,-122.34685809826624,48
0.1,ABHook,80000000000,-224.70281760735423,-306.11639430307787,-161.18038254367775,48
0.1,MEVChargeHook,5000000000,-2.2524420490781267,-83.10937909814947,371.1190136818477,48
0.1,MEVChargeHook,20000000000,-110.4840905809898,-224.79840740800864,427.27458171252147,48
