policy,uu_volume,arb_volume,uu_participation,uu_fee_share,uu_share_of_volume
MyHook@10000,448196.6559373969,80062.741229688,0.08870510490872255,0.9134103048192916,0.8484404789407566
MyHook@6000,895106.4265187517,154613.68081116,0.1708404910670368,0.8842302017234372,0.8527096130372902
MyHook@3000,1578567.2420454926,402304.18453107413,0.29769131759247053,0.8160405135906236,0.796905453259854
MyHook@500,2640408.34331327,1567700.7214416882,0.4842388197179258,0.6327763244204311,0.6274572029104534
VolatilityHook,1208051.449463138,225500.44412195485,0.24827686543510735,0.8102529475933679,0.8426980947595744
MEVChargeHook,1172126.1557613935,237252.70221177847,0.2304069436334398,0.8464162541438547,0.831661514666843
DAHook,1463433.6099100467,344175.10268999956,0.2786956285244899,0.8168699706754704,0.8095964573024537
BAHook,1179231.381281942,212811.4100048393,0.23017972770761835,0.842171182537939,0.8471229395124269
ABHook,1503654.779449998,397931.2081975501,0.2837548775044714,0.8068106908717084,0.7907372000096452
