trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
111,334,1.0519020415143834,31.83,27.6,32.4
112,337,1.0335006805860374,27.6,28.18,31.82
113,343,1.042066265812049,31.82,28.07,31.93
114,345,1.0442832156316197,31.93,27.97,32.03
115,346,1.0567919926870029,32.03,27.38,32.62
116,348,1.048430064436804,27.38,27.47,32.53
117,351,1.0439096504377587,27.47,27.68,32.32
118,352,1.0525168916639642,32.32,27.57,32.43
119,357,1.042651495646663,27.57,27.74,32.26
120,359,1.0362984664806643,27.74,28.04,31.96
121,361,1.0458451834664484,31.96,27.89,32.11
122,364,1.0568597548129604,32.11,27.37,32.63
123,366,1.0602417282578607,32.63,27.22,32.78
124,371,1.0490206901076804,27.22,27.45,32.55
125,372,1.0470537686316645,27.45,27.54,32.46
126,373,1.0447534694819691,27.54,27.64,32.36
127,378,1.0639664290650686,32.36,27.03,32.97
128,379,1.0694402481730672,32.97,26.78,33.22
129,383,1.058662077800058,26.78,26.98,33.02
130,389,1.0524270619576965,26.98,27.27,32.73
131,391,1.0506195251424484,27.27,27.35,32.65
132,396,1.0636099234765515,32.65,27.04,32.96
133,397,1.065755170702095,32.96,26.95,33.05
134,401,1.0544253796852907,26.95,27.18,32.82
135,402,1.0451213863410627,27.18,27.62,32.38
136,403,1.042993702189458,27.62,27.71,32.29
137,405,1.0406745646118705,27.71,27.82,32.18
138,410,1.0494924681333184,32.18,27.7,32.3
139,411,1.0521640838970672,32.3,27.58,32.42
140,412,1.0559903353435596,32.42,27.4,32.6
141,422,1.062017572817329,32.6,27.12,32.88
142,423,1.0710173548048398,32.88,26.7,33.3
143,426,1.0571351916967424,26.7,27.05,32.95
144,427,1.0483200653156026,27.05,27.46,32.54
145,428,1.025867764131181,27.46,28.53,31.47
146,430,1.0357365615301735,31.47,28.35,31.65
147,432,1.039272861250977,31.65,28.19,31.81
148,434,1.0410701467798167,31.81,28.11,31.89
149,435,1.0495615492623074,31.89,27.71,32.29
150,436,1.0612239303121553,32.29,27.16,32.84
151,444,1.0464894841125503,27.16,27.56,32.44
152,446,1.042113125113751,27.56,27.76,32.24
153,450,1.0511861768705164,32.24,27.63,32.37
154,458,1.042998461356744,27.63,27.72,32.28
155,462,1.0526641467057951,32.28,27.56,32.44
156,464,1.0434171030872137,27.56,27.7,32.3
157,465,1.0410140157539707,27.7,27.81,32.19
158,471,1.038300155345576,27.81,27.93,32.07
159,474,1.0361828767373802,27.93,28.03,31.97
160,475,1.02636714220539,28.03,28.5,31.5
161,477,1.035911884582286,31.5,28.34,31.66
162,480,1.0187263643171394,28.34,28.87,31.13
163,483,1.0393789444941464,31.13,28.17,31.83
164,487,1.021946413652256,28.17,28.71,31.29
165,488,1.017844681962848,28.71,28.9,31.1
166,489,1.010098044175301,28.9,29.28,30.72
167,490,1.0022058900361148,29.28,29.66,30.34
168,493,0.9981232165191278,29.66,29.86,30.14
169,494,0.9949787434152333,29.86,30.01,29.99
170,496,0.9876688366657645,30.01,30.37,29.63
171,497,0.985480531735161,30.37,30.47,29.53
172,501,1.0031438690214274,29.53,29.88,30.12
173,502,1.0050684113217534,30.12,29.79,30.21
174,504,0.9970683647810862,29.79,29.88,30.12
175,507,0.9946644201067117,29.88,30.0,30.0
176,508,0.9930113813404995,30.0,30.08,29.92
177,509,0.9892307957021473,30.08,30.27,29.73
178,510,0.9872339028004019,30.27,30.37,29.63
179,513,0.9836010043444506,30.37,30.55,29.45
180,514,0.9798447070446981,30.55,30.74,29.26
181,518,0.9957647126068297,29.26,30.24,29.76
182,519,1.0027068879363035,29.76,29.9,30.1
183,521,1.0126117986105803,30.1,29.41,30.59
184,523,1.0011126254884384,29.41,29.68,30.32
185,525,1.0105198571966167,30.32,29.52,30.48
186,527,1.014488542221275,30.48,29.33,30.67
187,528,1.0055756832207599,29.33,29.47,30.53
188,529,1.0027739532416187,29.47,29.6,30.4
189,536,1.0107798330221192,30.4,29.51,30.49
190,537,1.0160949171581017,30.49,29.25,30.75
191,541,1.0077415870793391,29.25,29.36,30.64
192,542,1.0037976521735343,29.36,29.55,30.45
193,545,0.9969929098075873,29.55,29.88,30.12
194,550,1.0048801749861898,30.12,29.79,30.21
195,551,1.0127271672530673,30.21,29.41,30.59
196,554,1.003725350521553,29.41,29.55,30.45
197,558,1.0149562076530119,30.45,29.3,30.7
198,559,1.0166889431593276,30.7,29.22,30.78
199,560,1.0201822673355316,30.78,29.05,30.95
200,562,1.009009987986283,29.05,29.3,30.7
201,563,1.0167414394523535,30.7,29.22,30.78
202,566,1.0078462142666922,29.22,29.35,30.65
203,571,1.019909709957136,30.65,29.06,30.94
204,572,1.0259896467496412,30.94,28.77,31.23
205,573,1.0337270152037867,31.23,28.4,31.6
206,581,1.0245685418631332,28.4,28.54,31.46
207,590,1.0420672065036216,31.46,28.0,32.0
208,591,1.0448956574104225,32.0,27.87,32.13
209,593,1.0532016907794735,32.13,27.48,32.52
210,596,1.0592855753754757,32.52,27.2,32.8
211,600,1.0455409967317335,27.2,27.55,32.45
212,603,1.0429563759226157,27.55,27.67,32.33
213,605,1.040616880490814,27.67,27.78,32.22
214,614,1.053253220481284,32.22,27.48,32.52
215,615,1.0426770519174642,27.48,27.68,32.32
216,616,1.038458453943642,27.68,27.88,32.12
217,627,1.0473389120019003,32.12,27.76,32.24
218,628,1.0500036314001486,32.24,27.64,32.36
219,630,1.039440633900854,27.64,27.84,32.16
220,631,1.036567707843142,27.84,27.97,32.03
221,636,1.0450307334178492,32.03,27.87,32.13
222,642,1.0355663822096608,27.87,28.02,31.98
223,643,1.029763590493959,28.02,28.29,31.71
224,647,1.0384145142794945,31.71,28.18,31.82
225,648,1.04049758089261,31.82,28.09,31.91
226,653,1.042762986158577,31.91,27.99,32.01
227,654,1.0445938488880684,32.01,27.91,32.09
228,655,1.0488750010637122,32.09,27.71,32.29
229,660,1.059007205895584,32.29,27.23,32.77
230,663,1.061866400472389,32.77,27.1,32.9
231,665,1.0533381376863984,27.1,27.2,32.8
232,666,1.0505614513380992,27.2,27.33,32.67
