policy,uu_volume,arb_volume,uu_participation,uu_fee_share,uu_share_of_volume
MyHook@10000,1107322.2708371817,51152.96947071075,0.07526646646694765,0.9766076381220439,0.9558445725114371
MyHook@6000,2437046.6546559935,157768.92683385187,0.16358874593604328,0.9574748762600168,0.9391984047115723
MyHook@3000,4508370.269143079,665979.1091419735,0.30068446611824606,0.8913299416279161,0.8712922030474292
MyHook@500,7577293.657476896,2965463.587250601,0.4914472145023,0.7288565078835876,0.7187203007321781
VolatilityHook,3599954.6650279392,429822.52957884915,0.25748858936383157,0.9002515267378409,0.8933383884959948
MEVChargeHook,3127210.782138268,357414.6196156283,0.21637815323971943,0.9258285891164133,0.8974309779651687
DAHook,4278077.0349044325,604519.0324621777,0.2863500627437511,0.8893864582757721,0.8761890141798643
BAHook,3339687.8568261163,345508.8699266618,0.22609515628445095,0.9184353389145491,0.9062441178734282
ABHook,4353626.281545292,654554.2144712302,0.28918908895468715,0.889767314975758,0.869302990379069
