trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
127,373,1.0447534694819691,26.0,27.0,33.0
128,378,1.0639664290650686,33.0,26.0,34.0
129,379,1.0694402481730672,34.0,25.0,35.0
130,383,1.058662077800058,25.0,26.0,34.0
131,389,1.0524270619576965,26.0,27.0,33.0
132,391,1.0506195251424484,27.0,28.0,32.0
133,396,1.0636099234765515,32.0,27.0,33.0
134,397,1.065755170702095,33.0,26.0,34.0
135,401,1.0544253796852907,26.0,27.0,33.0
136,402,1.0451213863410627,27.0,28.0,32.0
137,403,1.042993702189458,28.0,29.0,31.0
138,405,1.0406745646118705,29.0,30.0,30.0
139,410,1.0494924681333184,30.0,29.0,31.0
140,411,1.0521640838970672,31.0,28.0,32.0
141,412,1.0559903353435596,32.0,27.0,33.0
142,422,1.062017572817329,33.0,26.0,34.0
143,423,1.0710173548048398,34.0,25.0,35.0
144,426,1.0571351916967424,25.0,26.0,34.0
145,427,1.0483200653156026,26.0,27.0,33.0
146,428,1.025867764131181,27.0,28.0,32.0
147,430,1.0357365615301735,32.0,27.0,33.0
148,432,1.039272861250977,33.0,26.0,34.0
149,434,1.0410701467798167,34.0,25.0,35.0
150,435,1.0495615492623074,35.0,24.0,36.0
151,436,1.0612239303121553,36.0,23.0,37.0
152,440,1.0532664064075523,23.0,24.0,36.0
153,444,1.0464894841125503,24.0,25.0,35.0
154,446,1.042113125113751,25.0,26.0,34.0
155,450,1.0511861768705164,34.0,25.0,35.0
156,458,1.042998461356744,25.0,26.0,34.0
157,462,1.0526641467057951,34.0,25.0,35.0
158,464,1.0434171030872137,25.0,26.0,34.0
159,465,1.0410140157539707,26.0,27.0,33.0
160,471,1.038300155345576,27.0,28.0,32.0
161,474,1.0361828767373802,28.0,29.0,31.0
162,475,1.02636714220539,29.0,30.0,30.0
163,477,1.035911884582286,30.0,29.0,31.0
164,480,1.0187263643171394,29.0,30.0,30.0
165,483,1.0393789444941464,30.0,29.0,31.0
166,487,1.021946413652256,29.0,30.0,30.0
167,488,1.017844681962848,30.0,31.0,29.0
168,489,1.010098044175301,31.0,32.0,28.0
169,490,1.0022058900361148,32.0,33.0,27.0
170,493,0.9981232165191278,33.0,34.0,26.0
171,494,0.9949787434152333,34.0,35.0,25.0
172,496,0.9876688366657645,35.0,36.0,24.0
173,497,0.985480531735161,36.0,37.0,23.0
174,501,1.0031438690214274,23.0,36.0,24.0
175,502,1.0050684113217534,24.0,35.0,25.0
176,504,0.9970683647810862,35.0,36.0,24.0
177,507,0.9946644201067117,36.0,37.0,23.0
178,509,0.9892307957021473,37.0,38.0,22.0
179,510,0.9872339028004019,38.0,39.0,21.0
180,513,0.9836010043444506,39.0,40.0,20.0
181,514,0.9798447070446981,40.0,41.0,19.0
182,518,0.9957647126068297,19.0,40.0,20.0
183,519,1.0027068879363035,20.0,39.0,21.0
184,521,1.0126117986105803,21.0,38.0,22.0
185,523,1.0011126254884384,38.0,39.0,21.0
186,525,1.0105198571966167,21.0,38.0,22.0
