policy,retained_volume,net_result,value
ABHook,1909946.459246368,2028.0220516054126,net_result
BAHook,1397800.2485066787,2378.917282674923,net_result
DAHook,1815903.1799201223,2284.443827830128,net_result
MEVChargeHook,1414151.764408142,2220.0765649357177,net_result
MyHook@10000,531305.6290819182,1559.9665502742791,net_result
MyHook@3000,1989414.626092959,2275.5940339616172,net_result
MyHook@500,4225065.074260985,-1537.3290656492034,net_result
MyHook@6000,1054781.4124650697,2605.565622282726,net_result
VolatilityHook,1437551.9658658896,2000.9306106510649,net_result
