policy,retained_volume,net_result,value
ABHook,10512626.07853433,27670.669451732487,net_result
BAHook,7721784.8741118675,28251.05345404597,net_result
DAHook,10347280.625714108,28080.794677405338,net_result
MEVChargeHook,6877757.067641947,26157.37244439124,net_result
MyHook@10000,2230449.214338426,18641.8547147544,net_result
MyHook@3000,10756923.41001891,28565.50684315851,net_result
MyHook@500,21442586.29255492,7065.384014654154,net_result
MyHook@6000,5259247.400231427,27840.67235078329,net_result
VolatilityHook,8930188.35691517,26243.774744285576,net_result
