policy,regime,gas_price_wei,baseline_median,median_pct,ci_low_pct,ci_high_pct,n_windows
VolatilityHook,high,5000000000,2680.3460062445456,11.47350047296942,1.17689829351638,27.684273238307604,48
VolatilityHook,high,20000000000,2029.989086249056,8.433329262039207,-2.3655017774427525,23.152065683543036,48
VolatilityHook,high,80000000000,949.5947455290332,20.212881621025723,-2.262358633873208,114.2869594691767,48
VolatilityHook,mid,5000000000,1794.4363337453458,-0.884331876069845,-5.969510956738039,2.630431254998822,48
VolatilityHook,mid,20000000000,1250.091496707032,-1.933800679852079,-8.307512502805999,3.99211774875081,48
VolatilityHook,mid,80000000000,733.8835530040132,4.665357316821025,-9.096276838507805,13.999898795888866,48
VolatilityHook,low,5000000000,929.1238013032662,-12.152315979339644,-16.014820297026045,-10.720570873359064,48
VolatilityHook,low,20000000000,552.9294189957222,-16.143013622025432,-21.150467997497163,-13.316616070300269,48
VolatilityHook,low,80000000000,243.24759773468588,-18.517607028802907,-29.525189488304942,1.6116095526724137,48
BAHook,high,5000000000,2680.3460062445456,17.14657486745933,-0.02212447515015399,45.395944930967794,48
BAHook,high,20000000000,2029.989086249056,17.764494064765803,-6.062835377295982,37.40716576012741,48
BAHook,high,80000000000,949.5947455290332,0.6422070086728614,-10.521286304631362,52.52661570394066,48
BAHook,mid,5000000000,1794.4363337453458,5.452361889650153,-7.9495890605367645,7.855862323910454,48
BAHook,mid,20000000000,1250.091496707032,-3.611302011565066,-13.169921222393047,3.6774432472322,48
BAHook,mid,80000000000,733.8835530040132,-17.531232367276008,-27.4588808423234,-8.290948010133121,48
BAHook,low,5000000000,929.1238013032662,-10.939856999531761,-19.26239271193243,-4.283846874348588,48
BAHook,low,20000000000,552.9294189957222,-17.64421109090482,-28.94561940240627,-6.348486128175371,48
BAHook,low,80000000000,243.24759773468588,-31.288486533410296,-45.496889290691726,-15.32724934594605,48
DAHook,high,5000000000,2680.3460062445456,9.183534727582723,2.1871125103936695,21.01777798847917,48
DAHook,high,20000000000,2029.989086249056,1.2131950739600086,-3.806337591924351,7.5196791535188625,48
DAHook,high,80000000000,949.5947455290332,-16.23754971801442,-27.105580091575302,-7.173864981765326,48
DAHook,mid,5000000000,1794.4363337453458,-2.6196644196875383,-7.200674940655217,0.49433757217250207,48
DAHook,mid,20000000000,1250.091496707032,-6.395672810259269,-9.045090126773779,-2.975510061126016,48
DAHook,mid,80000000000,733.8835530040132,-7.441881380058297,-11.612841886505757,-3.97798918109332,48
DAHook,low,5000000000,929.1238013032662,-6.554092831204522,-11.690040973724688,-0.9967528394582316,48
DAHook,low,20000000000,552.9294189957222,-8.719031723241695,-12.99701251090392,-6.22885586098758,48
DAHook,low,80000000000,243.24759773468588,-1.851404169522688,-9.006226881262483,1.779243246156725,48
ABHook,high,5000000000,2680.3460062445456,-3.8870121593620057,-5.203178648907879,-2.9149686005200004,48
ABHook,high,20000000000,2029.989086249056,-7.4445229653163505,-10.185195001740082,-6.0269712249702065,48
ABHook,high,80000000000,949.5947455290332,-23.6630224277588,-32.236529924408536,-16.973596716131976,48
ABHook,mid,5000000000,1794.4363337453458,-3.95282050081297,-4.827603132057947,-3.3106192015780174,48
ABHook,mid,20000000000,1250.091496707032,-6.9518187704889005,-8.309154309683711,-4.569746302734083,48
ABHook,mid,80000000000,733.8835530040132,-11.554036026714694,-16.3863197247512,-5.838306559177669,48
ABHook,low,5000000000,929.1238013032662,-5.230901016009592,-6.483102198257867,-3.850489196758483,48
ABHook,low,20000000000,552.9294189957222,-9.350701926605792,-12.514373538286895,-7.157176822981839,48
ABHook,low,80000000000,243.24759773468588,-8.54434979561276,-21.394548839310062,0.6289816171800873,48
MEVChargeHook,high,5000000000,2680.3460062445456,-0.08403549556029304,-3.10069591405457,13.845936786416077,48
MEVChargeHook,high,20000000000,2029.989086249056,-5.442595299127371,-11.073872708517039,21.048122110943204,48
MEVChargeHook,high,80000000000,949.5947455290332,1.1414890713950505,-31.523765118047006,44.01919243961103,48
MEVChargeHook,mid,5000000000,1794.4363337453458,-4.515520793073189,-7.812957204706838,-2.8987263069825135,48
MEVChargeHook,mid,20000000000,1250.091496707032,-7.4212585546740915,-11.686146393488707,-0.9202340803744815,48
MEVChargeHook,mid,80000000000,733.8835530040132,-17.428588926533752,-25.326209480634997,-8.922035752038925,48
MEVChargeHook,low,5000000000,929.1238013032662,-7.241419458139432,-13.296319624591076,-5.858793094141589,48
MEVChargeHook,low,20000000000,552.9294189957222,-13.640263647621895,-22.653534742690322,-6.655025734683798,48
MEVChargeHook,low,80000000000,243.24759773468588,-22.196616861830513,-43.622111635893404,-14.5731636190075,48
