policy,regime,mean,sem,size,value
ABHook,high,-4399.010316561367,1838.685262046601,216,net_result
ABHook,low,587.212365481593,82.46638014781756,216,net_result
ABHook,mid,960.6208820050306,84.78826064309412,216,net_result
BAHook,high,-3573.8798401167437,1730.5193777910845,216,net_result
BAHook,low,556.5483723188091,75.39169139594841,216,net_result
BAHook,mid,988.384695688024,83.19984977764015,216,net_result
DAHook,high,-3920.88730789643,1767.3611558708467,216,net_result
DAHook,low,616.5378302050383,78.26041935435471,216,net_result
DAHook,mid,991.8405012875596,82.49507396983026,216,net_result
MEVChargeHook,high,-3685.802100878069,1733.0587497862327,216,net_result
MEVChargeHook,low,585.8122964609724,78.28074994632495,216,net_result
MEVChargeHook,mid,1020.4056939401963,82.51280257371047,216,net_result
MyHook@10000,high,-3234.31046988977,1699.7277006598215,216,net_result
MyHook@10000,low,418.36090252273925,69.94691009524982,216,net_result
MyHook@10000,mid,1020.931539888442,84.28488248420837,216,net_result
MyHook@3000,high,-4226.6410253109625,1840.9018331177977,216,net_result
MyHook@3000,low,648.5385155944224,82.79870998405713,216,net_result
MyHook@3000,mid,1040.6342024279033,85.64115886022289,216,net_result
MyHook@500,high,-7841.382752784898,1945.9804534347654,216,net_result
MyHook@500,low,33.08633905776496,70.69053725081869,216,net_result
MyHook@500,mid,61.56209265914862,75.05533759640285,216,net_result
MyHook@6000,high,-3289.689012773863,1758.8353223225613,216,net_result
MyHook@6000,low,626.3922508294215,82.73164322589193,216,net_result
MyHook@6000,mid,1187.348412676409,89.30621703081567,216,net_result
VolatilityHook,high,-3503.1623033618316,1704.987197751484,216,net_result
VolatilityHook,low,491.42756166246664,77.18284398445583,216,net_result
VolatilityHook,mid,963.0212222639382,84.48744637081359,216,net_result
