policy,net_result,net_result_tt,disagrees,gap
MyHook@10000,1559.9665502742791,2328.3771591002624,False,768.4106088259832
MyHook@6000,2605.565622282726,3344.3346284475238,False,738.7690061647977
MyHook@3000,2275.5940339616172,2975.819154209203,False,700.2251202475859
MyHook@500,-1537.3290656492034,-946.7001235975214,False,590.628942051682
VolatilityHook,2000.9306106510649,2755.308365266878,False,754.377754615813
MEVChargeHook,2220.0765649357177,2927.067415426261,False,706.9908504905434
DAHook,2284.443827830128,2975.5923505145192,False,691.1485226843911
BAHook,2378.917282674923,3112.212452894913,False,733.2951702199898
ABHook,2028.0220516054126,2733.381223871107,False,705.3591722656945
