policy,retained_volume,net_result_tt,value
ABHook,10512626.07853433,28246.100553023196,net_result_tt
BAHook,7721784.8741118675,28894.78942649567,net_result_tt
DAHook,10347280.625714108,28668.226772214442,net_result_tt
MEVChargeHook,6877757.067641947,26721.07525100046,net_result_tt
MyHook@10000,2230449.214338426,19272.766450153922,net_result_tt
MyHook@3000,10756923.41001891,29137.71445823797,net_result_tt
MyHook@500,21442586.29255492,7587.696420933764,net_result_tt
MyHook@6000,5259247.400231427,28448.331448378605,net_result_tt
VolatilityHook,8930188.35691517,26830.72113701432,net_result_tt
