policy,retained_volume,net_result,value
ABHook,5024731.253399576,11348.667033325597,net_result
BAHook,3696535.504333683,11820.150126113815,net_result
DAHook,4898677.5979138315,11709.328497455932,net_result
MEVChargeHook,3492877.598305667,10991.62359183625,net_result
MyHook@10000,1163462.2461666027,7936.141265938853,net_result
MyHook@3000,5191412.597815374,11890.140046333187,net_result
MyHook@500,10575012.4836232,1643.913886965707,net_result
MyHook@6000,2603827.650162641,11932.28880277074,net_result
VolatilityHook,4038039.3451881716,10667.774241255414,net_result
