policy,pair,n,p5_bps,median_bps,p95_bps,share_at_floor,share_at_cap
MyHook@10000,ETH/SHIB,32034,100.0,100.0,100.0,0.0,0.0
MyHook@6000,ETH/SHIB,61814,60.0,60.0,60.0,0.0,0.0
MyHook@3000,ETH/SHIB,110957,30.0,30.0,30.0,0.0,0.0
MyHook@500,ETH/SHIB,207966,5.0,5.0,5.0,0.0,0.0
VolatilityHook,ETH/SHIB,62313,30.3,39.96,100.0,0.0,0.0506635854476594
MEVChargeHook,ETH/SHIB,51179,30.0,100.0,100.0,0.49576974931124096,0.5041716328963052
DAHook,ETH/SHIB,95849,5.0,31.0,75.0,0.015023630919467078,0.005706893133992009
BAHook,ETH/SHIB,66579,6.0,45.0,100.0,0.036152540590877004,0.05295964192913682
ABHook,ETH/SHIB,100188,25.49,30.0,34.66,0.0,0.0
MyHook@10000,ETH/USDC,28208,100.0,100.0,100.0,0.0,0.0
MyHook@6000,ETH/USDC,59017,60.0,60.0,60.0,0.0,0.0
MyHook@3000,ETH/USDC,109613,30.0,30.0,30.0,0.0,0.0
MyHook@500,ETH/USDC,204840,5.0,5.0,5.0,0.0,0.0
VolatilityHook,ETH/USDC,70546,26.92,35.26,61.2775,0.0,0.006974172880106597
MEVChargeHook,ETH/USDC,96554,30.0,30.0,30.0,0.9775151728566398,0.006317708225448971
DAHook,ETH/USDC,97124,5.0,31.0,64.0,0.012067048309377703,0.0010913883283225566
BAHook,ETH/USDC,64607,6.0,45.0,95.0,0.03782871825034439,0.04248765613633198
ABHook,ETH/USDC,98880,27.88,29.99,32.08,0.0,0.0
MyHook@10000,USDC/USDT,15866,100.0,100.0,100.0,0.0,0.0
MyHook@6000,USDC/USDT,39675,60.0,60.0,60.0,0.0,0.0
MyHook@3000,USDC/USDT,77705,30.0,30.0,30.0,0.0,0.0
MyHook@500,USDC/USDT,143409,5.0,5.0,5.0,0.0,0.0
VolatilityHook,USDC/USDT,72764,20.45,21.02,21.59,0.0,0.0
MEVChargeHook,USDC/USDT,68849,30.0,30.0,30.0,1.0,0.0
DAHook,USDC/USDT,69980,5.0,30.0,61.0,0.012817947985138611,0.0005715918833952558
BAHook,USDC/USDT,62390,6.0,30.0,55.0,0.01791953838756211,0.0006090719666613239
ABHook,USDC/USDT,69315,29.7,29.96,30.21,0.0,0.0
