policy,retained_volume,net_result_tt,value
ABHook,1909946.459246368,2733.381223871107,net_result_tt
BAHook,1397800.2485066787,3112.212452894913,net_result_tt
DAHook,1815903.1799201223,2975.5923505145192,net_result_tt
MEVChargeHook,1414151.764408142,2927.067415426261,net_result_tt
MyHook@10000,531305.6290819182,2328.3771591002624,net_result_tt
MyHook@3000,1989414.626092959,2975.819154209203,net_result_tt
MyHook@500,4225065.074260985,-946.7001235975214,net_result_tt
MyHook@6000,1054781.4124650697,3344.3346284475238,net_result_tt
VolatilityHook,1437551.9658658896,2755.308365266878,net_result_tt
