policy,retained_volume,net_result_tt,value
ABHook,5024731.253399576,11969.665897365157,net_result_tt
BAHook,3696535.504333683,12463.144111564443,net_result_tt
DAHook,4898677.5979138315,12327.5837682832,net_result_tt
MEVChargeHook,3492877.598305667,11631.031443611726,net_result_tt
MyHook@10000,1163462.2461666027,8614.318980644412,net_result_tt
MyHook@3000,5191412.597815374,12508.5322496476,net_result_tt
MyHook@500,10575012.4836232,2195.4556356233866,net_result_tt
MyHook@6000,2603827.650162641,12577.7960860572,net_result_tt
VolatilityHook,4038039.3451881716,11315.95213314233,net_result_tt
