trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
111,466,1.0393072510584411,56.0,61.0,40.0
112,474,1.0361828767373802,61.0,66.0,35.0
113,475,1.02636714220539,66.0,71.0,30.0
114,480,1.0187263643171394,71.0,76.0,25.0
115,483,1.0393789444941464,25.0,71.0,30.0
116,487,1.021946413652256,71.0,76.0,25.0
117,488,1.017844681962848,76.0,81.0,20.0
118,489,1.010098044175301,81.0,86.0,15.0
119,490,1.0022058900361148,86.0,91.0,10.0
120,493,0.9981232165191278,91.0,96.0,5.0
121,494,0.9949787434152333,96.0,100.0,1.0
122,496,0.9876688366657645,100.0,100.0,1.0
123,497,0.985480531735161,100.0,100.0,1.0
124,501,1.0031438690214274,1.0,95.0,6.0
125,509,0.9892307957021473,95.0,100.0,1.0
126,513,0.9836010043444506,100.0,100.0,1.0
127,514,0.9798447070446981,100.0,100.0,1.0
128,518,0.9957647126068297,1.0,95.0,6.0
129,519,1.0027068879363035,6.0,90.0,11.0
130,521,1.0126117986105803,11.0,85.0,16.0
131,523,1.0011126254884384,85.0,90.0,11.0
132,527,1.014488542221275,11.0,85.0,16.0
133,529,1.0027739532416187,85.0,90.0,11.0
134,537,1.0160949171581017,11.0,85.0,16.0
135,542,1.0037976521735343,85.0,90.0,11.0
136,545,0.9969929098075873,90.0,95.0,6.0
137,551,1.0127271672530673,6.0,90.0,11.0
138,559,1.0166889431593276,11.0,85.0,16.0
139,560,1.0201822673355316,16.0,80.0,21.0
140,566,1.0078462142666922,80.0,85.0,16.0
141,571,1.019909709957136,16.0,80.0,21.0
142,572,1.0259896467496412,21.0,75.0,26.0
143,573,1.0337270152037867,26.0,70.0,31.0
144,590,1.0420672065036216,31.0,65.0,36.0
145,591,1.0448956574104225,36.0,60.0,41.0
146,593,1.0532016907794735,41.0,55.0,46.0
147,596,1.0592855753754757,46.0,50.0,51.0
148,600,1.0455409967317335,50.0,55.0,46.0
149,603,1.0429563759226157,55.0,60.0,41.0
150,616,1.038458453943642,60.0,65.0,36.0
151,642,1.0355663822096608,65.0,70.0,31.0
152,643,1.029763590493959,70.0,75.0,26.0
153,651,1.0417241918102582,26.0,70.0,31.0
154,654,1.0445938488880684,31.0,65.0,36.0
155,655,1.0488750010637122,36.0,60.0,41.0
156,660,1.059007205895584,41.0,55.0,46.0
157,663,1.061866400472389,46.0,50.0,51.0
158,676,1.0653915034346775,51.0,45.0,56.0
159,678,1.0514020527727224,45.0,50.0,51.0
160,679,1.0471074120444752,50.0,55.0,46.0
161,681,1.043862961966717,55.0,60.0,41.0
162,692,1.0645434381418024,41.0,55.0,46.0
163,695,1.068344998940903,46.0,50.0,51.0
164,710,1.053671040836623,50.0,55.0,46.0
165,716,1.0677984303640313,46.0,50.0,51.0
166,719,1.0538064820493755,50.0,55.0,46.0
167,724,1.0487989302240217,55.0,60.0,41.0
168,728,1.0626195224705264,41.0,55.0,46.0
169,729,1.068963129817641,46.0,50.0,51.0
170,741,1.0734422870947553,51.0,45.0,56.0
171,742,1.0764953838046605,56.0,40.0,61.0
172,743,1.0832482946275463,61.0,35.0,66.0
173,751,1.0886866511173674,66.0,30.0,71.0
174,754,1.0962968935193345,71.0,25.0,76.0
175,755,1.1006570961791524,76.0,20.0,81.0
176,756,1.108254347931988,81.0,15.0,86.0
177,758,1.1227055488512945,86.0,10.0,91.0
178,759,1.1353405013430413,91.0,5.0,96.0
179,767,1.1196890292434976,5.0,10.0,91.0
180,770,1.111961899067859,10.0,15.0,86.0
181,772,1.106653594854283,15.0,20.0,81.0
182,781,1.1030917510566858,20.0,25.0,76.0
183,788,1.117675787139112,76.0,20.0,81.0
184,794,1.1004539828141426,20.0,25.0,76.0
185,795,1.0973917740931014,25.0,30.0,71.0
186,803,1.115250288772017,71.0,25.0,76.0
187,822,1.1206611148802292,76.0,20.0,81.0
188,824,1.1235518022920612,81.0,15.0,86.0
189,826,1.109455718079342,15.0,20.0,81.0
190,834,1.1031675247277608,20.0,25.0,76.0
191,835,1.089653738059947,25.0,30.0,71.0
192,841,1.0817835956204824,30.0,35.0,66.0
193,842,1.077595197265355,35.0,40.0,61.0
194,855,1.091402412809876,61.0,35.0,66.0
195,857,1.103061374320931,66.0,30.0,71.0
196,870,1.0901136207629303,30.0,35.0,66.0
197,883,1.106374679715414,66.0,30.0,71.0
198,898,1.1114728245246808,71.0,25.0,76.0
199,916,1.0984886884296425,25.0,30.0,71.0
200,949,1.1111448587771031,71.0,25.0,76.0
201,962,1.094139521412973,25.0,30.0,71.0
202,963,1.0788228658262293,30.0,35.0,66.0
203,967,1.0749771959763537,35.0,40.0,61.0
204,968,1.0683005385627022,40.0,45.0,56.0
205,971,1.0587975487807633,45.0,50.0,51.0
206,976,1.0736153757489437,51.0,45.0,56.0
207,979,1.076138929382785,56.0,40.0,61.0
208,990,1.0842926748688668,61.0,35.0,66.0
209,992,1.0893443989397018,66.0,30.0,71.0
210,995,1.0940786791982282,71.0,25.0,76.0
211,1009,1.0770815054716498,25.0,30.0,71.0
212,1028,1.0897174504520086,71.0,25.0,76.0
213,1037,1.093782311886184,76.0,20.0,81.0
214,1041,1.0971047499336672,81.0,15.0,86.0
215,1064,1.1023507989651389,86.0,10.0,91.0
216,1080,1.0876697940893392,10.0,15.0,86.0
217,1089,1.100670573636316,86.0,10.0,91.0
218,1091,1.1060294092904683,91.0,5.0,96.0
219,1093,1.1089079085676186,96.0,1.0,100.0
220,1097,1.1158866118536133,100.0,1.0,100.0
221,1103,1.1198132948677155,100.0,1.0,100.0
222,1105,1.1260669762692683,100.0,1.0,100.0
223,1106,1.1316780498613341,100.0,1.0,100.0
224,1107,1.1370290896476536,100.0,1.0,100.0
225,1111,1.1414521476797344,100.0,1.0,100.0
226,1112,1.1450274507214675,100.0,1.0,100.0
227,1113,1.1480777998032068,100.0,1.0,100.0
228,1114,1.1511702908541208,100.0,1.0,100.0
229,1128,1.1583877567265273,100.0,1.0,100.0
230,1135,1.1418907542463674,1.0,6.0,95.0
231,1153,1.1377342088378317,6.0,11.0,90.0
232,1163,1.1333494796521821,11.0,16.0,85.0
233,1165,1.1253746491398078,16.0,21.0,80.0
234,1181,1.122476326693882,21.0,26.0,75.0
235,1182,1.108321905272108,26.0,31.0,70.0
236,1213,1.1226148292425477,70.0,26.0,75.0
237,1225,1.1269228891219505,75.0,21.0,80.0
238,1242,1.113585285521386,21.0,26.0,75.0
239,1245,1.110581081372994,26.0,31.0,70.0
240,1246,1.1077450802621787,31.0,36.0,65.0
241,1261,1.120500087925652,65.0,31.0,70.0
242,1272,1.123092806478789,70.0,26.0,75.0
243,1277,1.1270094784385816,75.0,21.0,80.0
244,1278,1.1317025039755189,80.0,16.0,85.0
245,1309,1.1162196725679863,16.0,21.0,80.0
246,1327,1.1315508743902565,80.0,16.0,85.0
247,1328,1.1343161316078578,85.0,11.0,90.0
248,1333,1.1394532465716036,90.0,6.0,95.0
249,1334,1.1432329282078348,95.0,1.0,100.0
250,1339,1.1478780614175217,100.0,1.0,100.0
251,1341,1.151339866540404,100.0,1.0,100.0
252,1368,1.1360338093529736,1.0,6.0,95.0
253,1380,1.1325601333379285,6.0,11.0,90.0
254,1391,1.1272902734907093,11.0,16.0,85.0
255,1395,1.1238149188652748,16.0,21.0,80.0
256,1432,1.1387968685162413,80.0,16.0,85.0
257,1433,1.1433109934992747,85.0,11.0,90.0
