policy,regime,mean,sem,size
ABHook,high,-6298.937342695609,1298.470610276986,432
ABHook,low,-14.921502182513859,47.820733155595924,432
ABHook,mid,250.3886207984768,51.945087536606536,432
BAHook,high,-5580.390416222737,1224.088642488312,432
BAHook,low,-14.784322745021065,42.20321166442896,432
BAHook,mid,264.7687930723977,45.12875524730983,432
DAHook,high,-6121.283435086633,1273.479478563016,432
DAHook,low,-8.093870699611964,46.082416763912235,432
DAHook,mid,248.20526654773565,49.67457547839393,432
MEVChargeHook,high,-5887.456193795133,1315.70222922279,432
MEVChargeHook,low,84.40725506142356,41.531298315379395,432
MEVChargeHook,mid,284.47749683257297,42.111573120871256,432
MEVChargeHookFixed,high,-6334.529033027913,1303.6650846062205,432
MEVChargeHookFixed,low,-18.91934843250061,48.000647250282796,432
MEVChargeHookFixed,mid,249.86907396986095,51.76627307763375,432
MyHook@10000,high,-4720.255367757261,1200.9987330624408,432
MyHook@10000,low,13.43318080261392,43.60834912219486,432
MyHook@10000,mid,486.9018165440467,54.688279366493305,432
MyHook@3000,high,-6258.640481257819,1299.281600306453,432
MyHook@3000,low,-4.20902740784495,46.89208315554276,432
MyHook@3000,mid,276.86070823583805,52.13236696751649,432
MyHook@500,high,-8515.640333636033,1374.3073370887423,432
MyHook@500,low,-200.00571339133214,47.3249651110877,432
MyHook@500,mid,-212.23548491717932,52.74020890355622,432
MyHook@6000,high,-5361.539415100078,1241.7950698155141,432
MyHook@6000,low,-13.265068131224195,48.88084852675863,432
MyHook@6000,mid,433.06612716277675,54.06887711160957,432
PegCapture,high,-5431.854432150543,1229.196697883307,432
PegCapture,low,-21.4574281447852,48.300333615834454,432
PegCapture,mid,260.7898339466139,51.555243033270884,432
PegDefence,high,-9484.790849667692,1414.2653231019285,432
PegDefence,low,-382.9253192970455,50.10577573525844,432
PegDefence,mid,-524.9423182354808,55.57177230074095,432
VolatilityHook,high,-8455.663175127504,1375.9068638243994,432
VolatilityHook,low,-221.87893976268165,47.74805836626163,432
VolatilityHook,mid,-232.41519266743157,52.730252536944214,432
