policy,regime,mean,sem,size,value
ABHook,high,-1397.0109690962588,409.03261143615214,216,net_result_tt
ABHook,low,417.2539613836928,53.69988890400969,216,net_result_tt
ABHook,mid,282.5303849576483,54.144453214753696,216,net_result_tt
BAHook,high,-626.0773078554213,313.3899918153825,216,net_result_tt
BAHook,low,437.19171259751624,51.757138816397784,216,net_result_tt
BAHook,mid,377.7404886587551,53.10498144731157,216,net_result_tt
DAHook,high,-993.0422123886857,366.166091064706,216,net_result_tt
DAHook,low,457.08972260787664,53.94745547099573,216,net_result_tt
DAHook,mid,344.7820155960974,55.034677650961555,216,net_result_tt
MEVChargeHook,high,-687.8275650615891,290.19890027698324,216,net_result_tt
MEVChargeHook,low,445.1432799136576,51.99912951415123,216,net_result_tt
MEVChargeHook,mid,328.18115472015484,51.30330205806663,216,net_result_tt
MyHook@10000,high,-270.6389562578402,225.1758392160674,216,net_result_tt
MyHook@10000,low,360.4645865098459,34.07090605496779,216,net_result_tt
MyHook@10000,mid,381.0150092237894,35.083605398374644,216,net_result_tt
MyHook@3000,high,-1230.145299130896,405.0359663312448,216,net_result_tt
MyHook@3000,low,480.34509411732864,55.084197392061725,216,net_result_tt
MyHook@3000,mid,356.2099502982189,54.6601687312653,216,net_result_tt
MyHook@500,high,-4976.041695219026,673.954109337251,216,net_result_tt
MyHook@500,low,-260.894117699326,40.1610680033246,216,net_result_tt
MyHook@500,mid,-748.2535901114074,60.3071514883532,216,net_result_tt
MyHook@6000,high,-304.59984012289436,295.088554953073,216,net_result_tt
MyHook@6000,low,531.5943581713925,51.664861896031944,216,net_result_tt
MyHook@6000,mid,492.113427609537,50.78921150398915,216,net_result_tt
VolatilityHook,high,-387.021710765158,241.12519994364752,216,net_result_tt
VolatilityHook,low,348.15662995582363,45.443973756907674,216,net_result_tt
VolatilityHook,mid,275.0355886820106,47.01264792931443,216,net_result_tt
