minute,kappa_3_usdt_per_min,kappa_1_usdt_per_min,kappa_0.3_usdt_per_min,kappa_0.1_usdt_per_min,kappa_0.03_usdt_per_min
49,38545.57524896356,12848.525082987853,3854.557524896356,1284.8525082987853,385.45575248963564
50,37931.58576472752,12643.86192157584,3793.158576472752,1264.386192157584,379.3158576472752
51,38088.14636476321,12696.048788254402,3808.814636476321,1269.6048788254402,380.8814636476321
52,38275.52576383862,12758.508587946206,3827.5525763838614,1275.8508587946205,382.7552576383862
53,38536.02429613842,12845.341432046142,3853.6024296138426,1284.534143204614,385.36024296138424
54,39044.617930458415,13014.872643486138,3904.461793045841,1301.4872643486137,390.4461793045841
55,39570.4420700283,13190.1473566761,3957.0442070028303,1319.01473566761,395.704420700283
56,39699.84424357647,13233.281414525489,3969.9844243576463,1323.3281414525488,396.9984424357646
57,39824.683797970894,13274.89459932363,3982.4683797970893,1327.4894599323632,398.2468379797089
58,39796.95196773076,13265.650655910253,3979.6951967730756,1326.5650655910254,397.9695196773076
59,39711.972362739936,13237.324120913314,3971.197236273994,1323.7324120913313,397.1197236273994
60,39545.789568968714,13181.929856322906,3954.5789568968717,1318.1929856322906,395.4578956896872
61,39725.827827200366,13241.94260906679,3972.582782720037,1324.194260906679,397.2582782720037
62,39705.10645645194,13235.03548548398,3970.510645645194,1323.5035485483982,397.05106456451944
63,39827.91611800056,13275.97203933352,3982.791611800056,1327.597203933352,398.2791611800056
64,39982.03808906645,13327.346029688817,3998.2038089066455,1332.7346029688817,399.8203808906645
65,40300.9388926525,13433.646297550833,4030.09388926525,1343.3646297550833,403.009388926525
66,40852.73384263131,13617.57794754377,4085.273384263131,1361.757794754377,408.5273384263131
67,41503.63211929841,13834.544039766137,4150.363211929841,1383.4544039766138,415.03632119298413
68,42171.3932371207,14057.131079040233,4217.13932371207,1405.7131079040232,421.71393237120697
69,42853.41372163143,14284.47124054381,4285.341372163143,1428.447124054381,428.53413721631426
70,43516.76898749582,14505.589662498607,4351.6768987495825,1450.5589662498608,435.1676898749582
71,43349.966182210854,14449.98872740362,4334.996618221086,1444.9988727403618,433.4996618221085
72,43433.046287575635,14477.682095858545,4343.3046287575635,1447.7682095858545,434.3304628757563
73,43478.182542627444,14492.727514209148,4347.818254262745,1449.2727514209148,434.78182542627445
74,43362.89852824476,14454.299509414921,4336.289852824476,1445.429950941492,433.6289852824476
75,43459.3235710974,14486.441190365798,4345.932357109739,1448.64411903658,434.59323571097394
76,43393.81903443746,14464.606344812486,4339.381903443746,1446.4606344812487,433.9381903443746
77,43218.259943485085,14406.08664782836,4321.825994348508,1440.608664782836,432.18259943485083
