policy,retained_volume,net_result,value
ABHook,917140.4111519958,-950.3923563582481,net_result
BAHook,652380.6545219393,-676.3155907033035,net_result
DAHook,847911.1820707736,-770.836325467944,net_result
MEVChargeHook,679818.5633182352,-693.1947034922999,net_result
MyHook@10000,317344.7873107341,-598.3393424928629,net_result
MyHook@3000,953349.732173331,-845.8227690962123,net_result
MyHook@500,2121159.183073769,-2582.2447736893278,net_result
MyHook@6000,541010.219472341,-491.98278308934425,net_result
VolatilityHook,628592.6598871682,-682.9045064784756,net_result
