policy,regime,gas_price_wei,baseline_median,median_pct,ci_low_pct,ci_high_pct,n_windows
VolatilityHook,high,5000000000,22379.839718253446,2.2365904089621913,-0.7009960276386785,4.37845546682965,48
VolatilityHook,high,20000000000,19901.986072665975,-2.485710032863602,-4.33163912339416,0.39922652974943,48
VolatilityHook,high,80000000000,14616.601636616328,-11.83427037880342,-16.562591288207702,-6.516979219096846,48
VolatilityHook,mid,5000000000,13477.133829124781,-1.1102719770297682,-2.5000573795384926,0.7602873343455171,48
VolatilityHook,mid,20000000000,11269.652655422833,-7.752200444579811,-9.680521216075473,-6.239961979195706,48
VolatilityHook,mid,80000000000,7690.286342545221,-19.378114183152547,-21.71447627497274,-17.3107818251055,48
VolatilityHook,low,5000000000,9208.1111736229,-3.4168691227705033,-4.972030599175527,-2.3293671870273593,48
VolatilityHook,low,20000000000,7289.286543992283,-10.843298271054307,-12.24668610752608,-9.760143478443162,48
VolatilityHook,low,80000000000,4202.33104930465,-26.163598092211252,-29.429061947311038,-21.06967500627028,48
BAHook,high,5000000000,22379.839718253446,6.951882354811253,3.9956145633574827,11.173458763777909,48
BAHook,high,20000000000,19901.986072665975,2.4050488743409812,0.22900026989810734,6.741951418195847,48
BAHook,high,80000000000,14616.601636616328,-5.6266493280015455,-9.306360928444255,-0.9901915800870904,48
BAHook,mid,5000000000,13477.133829124781,2.720795467498277,0.8567170517934675,4.237307877871385,48
BAHook,mid,20000000000,11269.652655422833,-1.2314729455534346,-3.2207153091333955,0.2562900981244082,48
BAHook,mid,80000000000,7690.286342545221,-10.023989142000719,-12.096087902418942,-7.948921196953494,48
BAHook,low,5000000000,9208.1111736229,0.08142645470247664,-2.2827372956896377,2.325280036706182,48
BAHook,low,20000000000,7289.286543992283,-2.9399924331231113,-5.352882781267202,-1.8319611838843035,48
BAHook,low,80000000000,4202.33104930465,-15.175541068616333,-19.129794969458192,-11.1060678237839,48
DAHook,high,5000000000,22379.839718253446,1.0609062380646999,-0.06051585700462932,2.735432969219482,48
DAHook,high,20000000000,19901.986072665975,-1.4637278005783971,-2.696015568473125,0.4695085060037402,48
DAHook,high,80000000000,14616.601636616328,-4.231724032560035,-5.312640872504696,-3.6165715057730905,48
DAHook,mid,5000000000,13477.133829124781,-0.19349651734274834,-1.1769840260824391,1.323301352308999,48
DAHook,mid,20000000000,11269.652655422833,-2.8643826610644285,-3.9584830954712458,-1.7254446663253118,48
DAHook,mid,80000000000,7690.286342545221,-7.123103379986783,-8.689859926547815,-5.085876257917395,48
DAHook,low,5000000000,9208.1111736229,-1.1950743559453232,-1.7046028830076898,-0.3826899434161587,48
DAHook,low,20000000000,7289.286543992283,-2.298796618955191,-3.085009936967497,-1.6017868019410864,48
DAHook,low,80000000000,4202.33104930465,-8.489178353360588,-10.70828490312827,-7.012660325242028,48
ABHook,high,5000000000,22379.839718253446,-1.270122123318248,-1.6350081758095312,-0.9603391940456188,48
ABHook,high,20000000000,19901.986072665975,-3.849642607350605,-4.331188507674939,-2.5536386181638386,48
ABHook,high,80000000000,14616.601636616328,-7.789647498893376,-9.511699481126536,-6.158252091248191,48
ABHook,mid,5000000000,13477.133829124781,-1.3135177092422043,-1.694482903429158,-0.895850583808766,48
ABHook,mid,20000000000,11269.652655422833,-4.2382981302196985,-5.327469371587026,-3.615203882191831,48
ABHook,mid,80000000000,7690.286342545221,-8.706721198139572,-11.765024072144309,-6.317100779323999,48
ABHook,low,5000000000,9208.1111736229,-1.6076095135697481,-2.1352906205421864,-1.370220523726056,48
ABHook,low,20000000000,7289.286543992283,-5.262072782269678,-6.002461119622119,-4.228609866409384,48
ABHook,low,80000000000,4202.33104930465,-12.446992710101624,-14.51263126552541,-9.694098507243133,48
MEVChargeHook,high,5000000000,22379.839718253446,-5.503695645539658,-10.734059536911586,-2.6115478251022806,48
MEVChargeHook,high,20000000000,19901.986072665975,-7.653469302748054,-14.650511831556544,-1.236319010781526,48
MEVChargeHook,high,80000000000,14616.601636616328,-13.12954586518451,-17.294322877676567,-4.3034943141262145,48
MEVChargeHook,mid,5000000000,13477.133829124781,-7.4306209475686895,-10.214744741665488,-5.733775949716394,48
MEVChargeHook,mid,20000000000,11269.652655422833,-11.751941901081459,-15.760422835158709,-7.953709946854068,48
MEVChargeHook,mid,80000000000,7690.286342545221,-15.474054017441112,-21.121214375110437,-11.933751091783096,48
MEVChargeHook,low,5000000000,9208.1111736229,-8.182260297230972,-11.757069708067116,-5.702593122030916,48
MEVChargeHook,low,20000000000,7289.286543992283,-11.53301809677081,-17.582999507170378,-7.884736911485418,48
MEVChargeHook,low,80000000000,4202.33104930465,-17.540173159732756,-26.87676752912949,-12.886254699131072,48
