policy,gwei,net_result_delta
ABHook,5.0,-130.0276026021329
ABHook,20.0,-271.30470611145347
ABHook,80.0,-341.38363835502895
BAHook,5.0,342.01466412404625
BAHook,20.0,112.34287304774534
BAHook,80.0,-144.38779103187505
DAHook,5.0,156.41666541326185
DAHook,20.0,1.2157890244825467
DAHook,80.0,-131.08307283221257
MEVChargeHook,5.0,-16.78657740522567
MEVChargeHook,20.0,-84.89389780042256
MEVChargeHook,80.0,-64.871931872051
VolatilityHook,5.0,-86.08017337752244
VolatilityHook,20.0,-347.084081307662
VolatilityHook,80.0,-390.8260152464735
MyHook@500,5.0,-4689.311547642402
MyHook@500,20.0,-3947.89080102986
MyHook@500,80.0,-2801.5669501602006
MyHook@6000,5.0,269.3243641643503
MyHook@6000,20.0,331.1116363168803
MyHook@6000,80.0,389.47876448209513
MyHook@10000,5.0,-1239.3375329548485
MyHook@10000,20.0,-773.93235923272
MyHook@10000,80.0,-133.61255887444634
