policy,gwei,net_result_delta
ABHook,5.0,-75.71324542833726
ABHook,20.0,-111.57678940868584
ABHook,80.0,-126.41872694908398
BAHook,5.0,252.57556160124443
BAHook,20.0,164.96694697597843
BAHook,80.0,90.97902660150362
DAHook,5.0,172.55291241886357
DAHook,20.0,80.07656883679579
DAHook,80.0,-27.670150370854117
MEVChargeHook,5.0,159.68705570187262
MEVChargeHook,20.0,144.3801101676321
MEVChargeHook,80.0,153.81703094223258
VolatilityHook,5.0,153.39118288883554
VolatilityHook,20.0,120.95671342386504
VolatilityHook,80.0,214.40689154051006
MyHook@500,5.0,-2114.6949461808526
MyHook@500,20.0,-1771.4134610446486
MyHook@500,80.0,-1323.1576065538459
MyHook@6000,5.0,295.6915192667239
MyHook@6000,20.0,370.1558305708728
MyHook@6000,80.0,395.6726081830077
MyHook@10000,5.0,4.630278867476562
MyHook@10000,20.0,229.62273474220638
MyHook@10000,80.0,508.1972662003652
