pair,regime,n_selected,vol_min,vol_max,n_days_total,tercile_cut_low,tercile_cut_high
ETH/SHIB,low,24,0.022608377257704586,0.03220790165420638,366,0.03241065982605524,0.042202268409378046
ETH/SHIB,mid,24,0.032421118754069056,0.04198767358313551,366,0.03241065982605524,0.042202268409378046
ETH/SHIB,high,24,0.043179575245547996,0.15967213066232178,366,0.03241065982605524,0.042202268409378046
ETH/USDC,low,24,0.010369063619600983,0.025146260910686245,366,0.025207231339922417,0.032849507052103634
ETH/USDC,mid,24,0.02521111664411372,0.032716767516806425,366,0.025207231339922417,0.032849507052103634
ETH/USDC,high,24,0.0332039188512487,0.06871268802971911,366,0.025207231339922417,0.032849507052103634
USDC/USDT,low,24,0.0009331600331248643,0.002556902731377603,366,0.0025588647152476034,0.0026576307194205585
USDC/USDT,mid,24,0.002560538462115701,0.0026494101452125924,366,0.0025588647152476034,0.0026576307194205585
USDC/USDT,high,24,0.0026576382550420885,0.0037839884802007865,366,0.0025588647152476034,0.0026576307194205585
