policy,candle,fee_ab_bps,fee_ba_bps
MEVChargeHook,276,100.0,100.0
MEVChargeHook,278,100.0,100.0
MEVChargeHook,280,100.0,100.0
MEVChargeHook,281,100.0,100.0
MEVChargeHook,283,30.0,30.0
MEVChargeHook,284,30.0,30.0
MEVChargeHook,285,30.0,30.0
MEVChargeHook,286,30.0,30.0
MEVChargeHook,287,30.0,30.0
MEVChargeHook,289,30.0,30.0
MEVChargeHook,292,30.0,30.0
MEVChargeHook,294,100.0,100.0
MEVChargeHook,295,30.0,30.0
MEVChargeHook,297,30.0,30.0
MEVChargeHook,299,30.0,30.0
MEVChargeHook,301,30.0,30.0
MEVChargeHook,304,30.0,30.0
MEVChargeHook,307,30.0,30.0
MEVChargeHook,308,100.0,100.0
MEVChargeHook,313,100.0,100.0
MEVChargeHook,318,100.0,100.0
MEVChargeHook,319,30.0,30.0
MEVChargeHook,321,100.0,100.0
MEVChargeHook,324,100.0,100.0
MEVChargeHook,326,30.0,30.0
MEVChargeHook,329,100.0,100.0
MEVChargeHook,331,100.0,100.0
MEVChargeHook,333,30.0,30.0
MEVChargeHook,342,100.0,100.0
MEVChargeHook,344,30.0,30.0
MEVChargeHook,346,30.0,30.0
MEVChargeHook,349,30.0,30.0
MEVChargeHook,349,100.0,100.0
MEVChargeHook,352,30.0,30.0
MEVChargeHook,356,30.0,30.0
MEVChargeHook,358,100.0,100.0
MEVChargeHook,362,100.0,100.0
MEVChargeHook,363,30.0,30.0
MEVChargeHook,370,30.0,30.0
MEVChargeHook,371,100.0,100.0
MEVChargeHook,378,100.0,100.0
MEVChargeHook,380,30.0,30.0
MEVChargeHook,382,30.0,30.0
MEVChargeHook,383,30.0,30.0
MEVChargeHook,391,100.0,100.0
MEVChargeHook,395,100.0,100.0
MEVChargeHook,401,30.0,30.0
MEVChargeHook,402,30.0,30.0
MEVChargeHook,408,30.0,30.0
MEVChargeHook,409,100.0,100.0
MEVChargeHook,411,30.0,30.0
MEVChargeHook,415,30.0,30.0
MEVChargeHook,418,30.0,30.0
MEVChargeHook,428,100.0,100.0
MEVChargeHook,430,100.0,100.0
MEVChargeHook,432,30.0,30.0
MEVChargeHook,434,30.0,30.0
MEVChargeHook,436,100.0,100.0
MEVChargeHook,441,30.0,30.0
MEVChargeHook,446,30.0,30.0
MEVChargeHook,449,100.0,100.0
MEVChargeHook,450,100.0,100.0
MEVChargeHook,451,30.0,30.0
MEVChargeHook,452,100.0,100.0
MEVChargeHook,457,30.0,30.0
MEVChargeHook,458,30.0,30.0
MEVChargeHook,461,100.0,100.0
MEVChargeHook,466,30.0,30.0
MEVChargeHook,476,30.0,30.0
MEVChargeHook,481,100.0,100.0
MEVChargeHook,482,100.0,100.0
MEVChargeHook,483,30.0,30.0
MEVChargeHook,484,100.0,100.0
MEVChargeHook,487,100.0,100.0
MEVChargeHook,487,30.0,30.0
MEVChargeHook,489,30.0,30.0
MEVChargeHook,490,30.0,30.0
MEVChargeHook,491,30.0,30.0
MEVChargeHook,492,100.0,100.0
MEVChargeHook,493,30.0,30.0
MEVChargeHook,493,30.0,30.0
MEVChargeHook,494,30.0,30.0
MEVChargeHook,497,30.0,30.0
MEVChargeHook,499,30.0,30.0
MEVChargeHook,504,100.0,100.0
MEVChargeHook,508,30.0,30.0
MEVChargeHook,508,100.0,100.0
MEVChargeHook,510,100.0,100.0
MEVChargeHook,519,30.0,30.0
MEVChargeHook,519,100.0,100.0
MEVChargeHook,521,30.0,30.0
MEVChargeHook,522,30.0,30.0
MEVChargeHook,524,30.0,30.0
MEVChargeHook,525,30.0,30.0
MEVChargeHook,527,30.0,30.0
MEVChargeHook,532,100.0,100.0
MEVChargeHook,532,100.0,100.0
MEVChargeHook,534,100.0,100.0
MEVChargeHook,535,30.0,30.0
MEVChargeHook,538,30.0,30.0
MEVChargeHook,539,30.0,30.0
MEVChargeHook,539,30.0,30.0
MEVChargeHook,540,30.0,30.0
MEVChargeHook,540,30.0,30.0
MEVChargeHook,542,30.0,30.0
MEVChargeHook,542,100.0,100.0
MEVChargeHook,543,100.0,100.0
MEVChargeHook,544,100.0,100.0
MEVChargeHook,547,100.0,100.0
MEVChargeHook,549,30.0,30.0
MEVChargeHook,551,30.0,30.0
MEVChargeHook,553,30.0,30.0
MEVChargeHook,555,30.0,30.0
MEVChargeHook,559,30.0,30.0
MEVChargeHook,562,30.0,30.0
MEVChargeHook,563,30.0,30.0
MEVChargeHook,563,100.0,100.0
MEVChargeHook,566,100.0,100.0
MEVChargeHook,567,100.0,100.0
MEVChargeHook,567,30.0,30.0
MEVChargeHook,568,30.0,30.0
MEVChargeHook,569,30.0,30.0
MEVChargeHook,571,30.0,30.0
MEVChargeHook,573,100.0,100.0
MEVChargeHook,575,100.0,100.0
MEVChargeHook,576,30.0,30.0
MEVChargeHook,580,100.0,100.0
MEVChargeHook,581,30.0,30.0
MEVChargeHook,581,100.0,100.0
MEVChargeHook,587,30.0,30.0
MEVChargeHook,590,100.0,100.0
MEVChargeHook,591,30.0,30.0
MEVChargeHook,599,30.0,30.0
MEVChargeHook,603,100.0,100.0
MEVChargeHook,607,100.0,100.0
MEVChargeHook,611,100.0,100.0
MEVChargeHook,613,30.0,30.0
MEVChargeHook,614,100.0,100.0
MEVChargeHook,615,30.0,30.0
MEVChargeHook,615,100.0,100.0
MEVChargeHook,617,100.0,100.0
MEVChargeHook,618,100.0,100.0
MEVChargeHook,623,30.0,30.0
MEVChargeHook,624,100.0,100.0
MEVChargeHook,631,30.0,30.0
MEVChargeHook,634,100.0,100.0
MEVChargeHook,635,30.0,30.0
MEVChargeHook,635,100.0,100.0
MEVChargeHook,636,100.0,100.0
MEVChargeHook,651,100.0,100.0
MEVChargeHook,655,30.0,30.0
MEVChargeHook,661,30.0,30.0
MEVChargeHook,664,100.0,100.0
MEVChargeHook,668,100.0,100.0
MEVChargeHook,673,100.0,100.0
MEVChargeHook,676,30.0,30.0
MEVChargeHook,677,30.0,30.0
MEVChargeHook,680,30.0,30.0
MEVChargeHook,682,30.0,30.0
MEVChargeHook,683,30.0,30.0
MEVChargeHook,686,100.0,100.0
MEVChargeHook,688,100.0,100.0
MEVChargeHook,691,100.0,100.0
MEVChargeHook,695,30.0,30.0
MEVChargeHook,696,30.0,30.0
MEVChargeHook,698,30.0,30.0
MEVChargeHook,703,30.0,30.0
MEVChargeHook,709,100.0,100.0
MEVChargeHook,710,100.0,100.0
MEVChargeHook,711,100.0,100.0
MEVChargeHook,716,100.0,100.0
MEVChargeHook,720,100.0,100.0
MEVChargeHook,722,100.0,100.0
MEVChargeHook,725,30.0,30.0
MEVChargeHook,727,30.0,30.0
MEVChargeHook,728,30.0,30.0
MEVChargeHook,735,30.0,30.0
MEVChargeHook,739,30.0,30.0
MEVChargeHook,741,30.0,30.0
MEVChargeHook,743,30.0,30.0
MEVChargeHook,744,30.0,30.0
MEVChargeHook,745,100.0,100.0
MEVChargeHook,746,100.0,100.0
MEVChargeHook,750,30.0,30.0
MEVChargeHook,759,30.0,30.0
MEVChargeHook,763,100.0,100.0
MEVChargeHook,767,100.0,100.0
MEVChargeHook,768,100.0,100.0
MEVChargeHook,769,30.0,30.0
MEVChargeHook,771,30.0,30.0
MEVChargeHook,782,30.0,30.0
MEVChargeHook,792,100.0,100.0
MEVChargeHook,794,100.0,100.0
MEVChargeHook,801,30.0,30.0
MEVChargeHook,803,30.0,30.0
MEVChargeHook,808,30.0,30.0
MEVChargeHook,810,30.0,30.0
MEVChargeHook,811,100.0,100.0
MEVChargeHook,813,100.0,100.0
MEVChargeHook,816,30.0,30.0
MEVChargeHook,818,100.0,100.0
MEVChargeHook,822,30.0,30.0
MEVChargeHook,824,30.0,30.0
MEVChargeHook,826,30.0,30.0
MEVChargeHook,827,30.0,30.0
MEVChargeHook,829,30.0,30.0
MEVChargeHook,830,30.0,30.0
MEVChargeHook,830,30.0,30.0
MEVChargeHook,832,30.0,30.0
MEVChargeHook,832,30.0,30.0
MEVChargeHook,833,30.0,30.0
MEVChargeHook,834,30.0,30.0
MEVChargeHook,837,30.0,30.0
MEVChargeHook,838,30.0,30.0
MEVChargeHook,839,30.0,30.0
MEVChargeHook,839,30.0,30.0
MEVChargeHook,841,100.0,100.0
MEVChargeHook,842,30.0,30.0
MEVChargeHook,846,30.0,30.0
MEVChargeHook,847,30.0,30.0
MEVChargeHook,849,30.0,30.0
MEVChargeHook,849,30.0,30.0
MEVChargeHook,850,30.0,30.0
MEVChargeHook,851,30.0,30.0
MEVChargeHook,851,30.0,30.0
MEVChargeHook,852,100.0,100.0
MEVChargeHook,852,100.0,100.0
MEVChargeHook,855,100.0,100.0
MEVChargeHook,855,100.0,100.0
MEVChargeHook,858,30.0,30.0
MEVChargeHook,860,30.0,30.0
MEVChargeHook,861,30.0,30.0
MEVChargeHook,862,30.0,30.0
MEVChargeHook,863,30.0,30.0
MEVChargeHook,864,30.0,30.0
MEVChargeHook,865,30.0,30.0
MEVChargeHook,867,100.0,100.0
MEVChargeHook,869,30.0,30.0
MEVChargeHook,871,100.0,100.0
MEVChargeHook,872,100.0,100.0
MEVChargeHook,872,100.0,100.0
MEVChargeHook,873,100.0,100.0
MEVChargeHook,874,100.0,100.0
MEVChargeHook,877,100.0,100.0
MEVChargeHook,878,30.0,30.0
MEVChargeHook,879,30.0,30.0
MEVChargeHook,883,30.0,30.0
MEVChargeHook,884,30.0,30.0
MEVChargeHook,886,100.0,100.0
MEVChargeHook,888,100.0,100.0
MEVChargeHook,889,100.0,100.0
MEVChargeHook,893,100.0,100.0
MEVChargeHook,894,100.0,100.0
MEVChargeHook,895,30.0,30.0
MEVChargeHook,895,100.0,100.0
MEVChargeHook,896,100.0,100.0
MEVChargeHook,898,30.0,30.0
MEVChargeHook,900,30.0,30.0
MEVChargeHook,905,100.0,100.0
MEVChargeHook,907,100.0,100.0
MEVChargeHook,908,100.0,100.0
MEVChargeHook,909,100.0,100.0
MEVChargeHook,912,100.0,100.0
MEVChargeHook,914,30.0,30.0
MEVChargeHook,914,100.0,100.0
MEVChargeHook,916,100.0,100.0
MEVChargeHook,918,100.0,100.0
MEVChargeHook,922,100.0,100.0
MEVChargeHook,923,30.0,30.0
MEVChargeHook,926,30.0,30.0
MEVChargeHook,932,30.0,30.0
MEVChargeHook,933,30.0,30.0
MEVChargeHook,935,30.0,30.0
MEVChargeHook,935,100.0,100.0
MEVChargeHook,940,30.0,30.0
MEVChargeHook,940,100.0,100.0
MEVChargeHook,942,30.0,30.0
MEVChargeHook,943,30.0,30.0
MEVChargeHook,945,100.0,100.0
MEVChargeHook,949,100.0,100.0
MEVChargeHook,955,30.0,30.0
MEVChargeHook,960,30.0,30.0
MEVChargeHook,960,30.0,30.0
MEVChargeHook,963,30.0,30.0
MEVChargeHook,964,30.0,30.0
MEVChargeHook,965,30.0,30.0
MEVChargeHook,966,30.0,30.0
MEVChargeHook,967,30.0,30.0
MEVChargeHook,971,100.0,100.0
MEVChargeHook,975,100.0,100.0
MEVChargeHook,976,100.0,100.0
MEVChargeHook,976,100.0,100.0
MEVChargeHook,977,100.0,100.0
MEVChargeHook,981,30.0,30.0
MEVChargeHook,983,30.0,30.0
MEVChargeHook,984,30.0,30.0
MEVChargeHook,985,30.0,30.0
MEVChargeHook,985,100.0,100.0
MEVChargeHook,985,30.0,30.0
MEVChargeHook,986,30.0,30.0
MEVChargeHook,987,30.0,30.0
MEVChargeHook,987,30.0,30.0
MEVChargeHook,988,100.0,100.0
MEVChargeHook,989,100.0,100.0
MEVChargeHook,994,100.0,100.0
MEVChargeHook,996,30.0,30.0
MEVChargeHook,999,30.0,30.0
MEVChargeHook,1000,30.0,30.0
MEVChargeHook,1000,100.0,100.0
MEVChargeHook,1002,30.0,30.0
MEVChargeHook,1003,30.0,30.0
MEVChargeHook,1003,30.0,30.0
MEVChargeHook,1004,30.0,30.0
MEVChargeHook,1004,30.0,30.0
MEVChargeHook,1009,30.0,30.0
MEVChargeHook,1010,100.0,100.0
MEVChargeHook,1012,30.0,30.0
MEVChargeHook,1013,30.0,30.0
MEVChargeHook,1015,30.0,30.0
MEVChargeHook,1021,30.0,30.0
MEVChargeHook,1022,30.0,30.0
MEVChargeHook,1023,30.0,30.0
MEVChargeHook,1024,100.0,100.0
MEVChargeHook,1025,30.0,30.0
MEVChargeHook,1025,100.0,100.0
MEVChargeHook,1025,100.0,100.0
MEVChargeHook,1030,30.0,30.0
MEVChargeHook,1033,30.0,30.0
MEVChargeHook,1034,30.0,30.0
MEVChargeHook,1036,100.0,100.0
MEVChargeHook,1037,30.0,30.0
MEVChargeHook,1037,100.0,100.0
MEVChargeHook,1039,30.0,30.0
MEVChargeHook,1039,100.0,100.0
MEVChargeHook,1040,100.0,100.0
MEVChargeHook,1040,100.0,100.0
MEVChargeHook,1043,100.0,100.0
MEVChargeHook,1044,100.0,100.0
MEVChargeHook,1047,30.0,30.0
MEVChargeHook,1048,100.0,100.0
MEVChargeHook,1053,100.0,100.0
MEVChargeHook,1053,30.0,30.0
MEVChargeHook,1054,30.0,30.0
MEVChargeHook,1055,30.0,30.0
MEVChargeHook,1056,30.0,30.0
MEVChargeHook,1057,30.0,30.0
MEVChargeHook,1058,30.0,30.0
MEVChargeHook,1060,30.0,30.0
MEVChargeHook,1061,30.0,30.0
MEVChargeHook,1062,30.0,30.0
MEVChargeHook,1065,100.0,100.0
MEVChargeHook,1066,30.0,30.0
MEVChargeHook,1068,100.0,100.0
MEVChargeHook,1070,100.0,100.0
MEVChargeHook,1071,30.0,30.0
MEVChargeHook,1073,100.0,100.0
MEVChargeHook,1074,100.0,100.0
MEVChargeHook,1074,100.0,100.0
MEVChargeHook,1075,100.0,100.0
MEVChargeHook,1075,100.0,100.0
MEVChargeHook,1077,100.0,100.0
MEVChargeHook,1077,100.0,100.0
MEVChargeHook,1084,100.0,100.0
MEVChargeHook,1087,30.0,30.0
MEVChargeHook,1087,100.0,100.0
MEVChargeHook,1092,30.0,30.0
MEVChargeHook,1093,30.0,30.0
MEVChargeHook,1098,30.0,30.0
MEVChargeHook,1099,100.0,100.0
MEVChargeHook,1100,30.0,30.0
MEVChargeHook,1102,30.0,30.0
MEVChargeHook,1104,100.0,100.0
MEVChargeHook,1105,100.0,100.0
MEVChargeHook,1106,30.0,30.0
MEVChargeHook,1109,30.0,30.0
MEVChargeHook,1111,100.0,100.0
MEVChargeHook,1111,100.0,100.0
MEVChargeHook,1112,100.0,100.0
MEVChargeHook,1114,100.0,100.0
MEVChargeHook,1115,30.0,30.0
MEVChargeHook,1117,100.0,100.0
MEVChargeHook,1118,30.0,30.0
MEVChargeHook,1119,30.0,30.0
MEVChargeHook,1122,30.0,30.0
MEVChargeHook,1124,30.0,30.0
MEVChargeHook,1124,100.0,100.0
MEVChargeHook,1126,100.0,100.0
MEVChargeHook,1127,100.0,100.0
MEVChargeHook,1127,30.0,30.0
MEVChargeHook,1128,30.0,30.0
MEVChargeHook,1130,100.0,100.0
MEVChargeHook,1131,100.0,100.0
MEVChargeHook,1133,30.0,30.0
MEVChargeHook,1140,100.0,100.0
MEVChargeHook,1141,30.0,30.0
MEVChargeHook,1145,30.0,30.0
MEVChargeHook,1147,100.0,100.0
MEVChargeHook,1148,30.0,30.0
MEVChargeHook,1148,100.0,100.0
MEVChargeHook,1149,100.0,100.0
MEVChargeHook,1150,100.0,100.0
MEVChargeHook,1155,100.0,100.0
MEVChargeHook,1163,30.0,30.0
MEVChargeHook,1165,30.0,30.0
MEVChargeHook,1166,30.0,30.0
MEVChargeHook,1172,30.0,30.0
MEVChargeHook,1175,30.0,30.0
MEVChargeHook,1176,30.0,30.0
MEVChargeHook,1177,30.0,30.0
MEVChargeHook,1180,30.0,30.0
MEVChargeHook,1182,30.0,30.0
MEVChargeHook,1185,100.0,100.0
MEVChargeHook,1189,30.0,30.0
MEVChargeHook,1190,30.0,30.0
MEVChargeHook,1190,100.0,100.0
MEVChargeHook,1192,100.0,100.0
MEVChargeHook,1193,100.0,100.0
MEVChargeHook,1195,100.0,100.0
MEVChargeHook,1197,100.0,100.0
MEVChargeHook,1198,100.0,100.0
MEVChargeHook,1198,100.0,100.0
MEVChargeHook,1201,100.0,100.0
MEVChargeHook,1213,100.0,100.0
MEVChargeHook,1215,100.0,100.0
MEVChargeHook,1216,30.0,30.0
MEVChargeHook,1217,100.0,100.0
MEVChargeHook,1222,100.0,100.0
MEVChargeHook,1224,30.0,30.0
MEVChargeHook,1224,100.0,100.0
MEVChargeHook,1225,30.0,30.0
MEVChargeHook,1226,30.0,30.0
MEVChargeHook,1227,30.0,30.0
MEVChargeHook,1227,100.0,100.0
MEVChargeHook,1228,30.0,30.0
MEVChargeHook,1230,100.0,100.0
MEVChargeHook,1231,30.0,30.0
MEVChargeHook,1232,30.0,30.0
MEVChargeHook,1236,30.0,30.0
MEVChargeHook,1237,30.0,30.0
MEVChargeHook,1239,30.0,30.0
MEVChargeHook,1239,30.0,30.0
MEVChargeHook,1240,30.0,30.0
MEVChargeHook,1240,30.0,30.0
MEVChargeHook,1241,30.0,30.0
MEVChargeHook,1242,30.0,30.0
MEVChargeHook,1242,30.0,30.0
MEVChargeHook,1243,30.0,30.0
MEVChargeHook,1244,30.0,30.0
MEVChargeHook,1246,100.0,100.0
MEVChargeHook,1254,30.0,30.0
MEVChargeHook,1254,30.0,30.0
MEVChargeHook,1257,100.0,100.0
MEVChargeHook,1258,30.0,30.0
MEVChargeHook,1258,100.0,100.0
MEVChargeHook,1259,100.0,100.0
MEVChargeHook,1260,100.0,100.0
MEVChargeHook,1262,100.0,100.0
MEVChargeHook,1265,100.0,100.0
MEVChargeHook,1266,30.0,30.0
MEVChargeHook,1269,30.0,30.0
MEVChargeHook,1269,100.0,100.0
MEVChargeHook,1276,30.0,30.0
MEVChargeHook,1276,30.0,30.0
MEVChargeHook,1277,30.0,30.0
MEVChargeHook,1277,100.0,100.0
MEVChargeHook,1280,30.0,30.0
MEVChargeHook,1281,30.0,30.0
MEVChargeHook,1282,30.0,30.0
MEVChargeHook,1282,30.0,30.0
MEVChargeHook,1283,100.0,100.0
MEVChargeHook,1283,30.0,30.0
MEVChargeHook,1285,30.0,30.0
MEVChargeHook,1288,30.0,30.0
MEVChargeHook,1290,30.0,30.0
MEVChargeHook,1290,100.0,100.0
MEVChargeHook,1292,30.0,30.0
MEVChargeHook,1292,100.0,100.0
MEVChargeHook,1293,100.0,100.0
MEVChargeHook,1294,100.0,100.0
MEVChargeHook,1297,30.0,30.0
MEVChargeHook,1297,100.0,100.0
MEVChargeHook,1298,30.0,30.0
MEVChargeHook,1299,100.0,100.0
MEVChargeHook,1301,30.0,30.0
MEVChargeHook,1301,30.0,30.0
MEVChargeHook,1303,30.0,30.0
MEVChargeHook,1303,30.0,30.0
MEVChargeHook,1304,30.0,30.0
MEVChargeHook,1304,30.0,30.0
MEVChargeHook,1307,30.0,30.0
MEVChargeHook,1308,30.0,30.0
MEVChargeHook,1308,100.0,100.0
MEVChargeHook,1309,100.0,100.0
MEVChargeHook,1309,100.0,100.0
MEVChargeHook,1310,100.0,100.0
MEVChargeHook,1311,100.0,100.0
MEVChargeHook,1311,100.0,100.0
MEVChargeHook,1312,100.0,100.0
MEVChargeHook,1313,100.0,100.0
MEVChargeHook,1313,100.0,100.0
MEVChargeHook,1314,100.0,100.0
MEVChargeHook,1314,100.0,100.0
MEVChargeHook,1315,30.0,30.0
MEVChargeHook,1315,30.0,30.0
MEVChargeHook,1316,30.0,30.0
MEVChargeHook,1316,30.0,30.0
MEVChargeHook,1317,30.0,30.0
MEVChargeHook,1321,100.0,100.0
MEVChargeHook,1322,100.0,100.0
MEVChargeHook,1323,30.0,30.0
MEVChargeHook,1323,100.0,100.0
MEVChargeHook,1326,30.0,30.0
MEVChargeHook,1326,30.0,30.0
MEVChargeHook,1327,30.0,30.0
MEVChargeHook,1327,30.0,30.0
MEVChargeHook,1328,30.0,30.0
MEVChargeHook,1328,30.0,30.0
MEVChargeHook,1330,30.0,30.0
MEVChargeHook,1335,30.0,30.0
MEVChargeHook,1335,30.0,30.0
MEVChargeHook,1336,30.0,30.0
MEVChargeHook,1339,30.0,30.0
MEVChargeHook,1339,30.0,30.0
MEVChargeHook,1341,100.0,100.0
MEVChargeHook,1343,100.0,100.0
MEVChargeHook,1347,100.0,100.0
MEVChargeHook,1347,100.0,100.0
MEVChargeHook,1348,100.0,100.0
MEVChargeHook,1348,100.0,100.0
MEVChargeHook,1349,100.0,100.0
MEVChargeHook,1349,100.0,100.0
MEVChargeHook,1353,30.0,30.0
MEVChargeHook,1354,30.0,30.0
MEVChargeHook,1354,30.0,30.0
MEVChargeHook,1356,30.0,30.0
MEVChargeHook,1357,100.0,100.0
MEVChargeHook,1360,100.0,100.0
MEVChargeHook,1361,100.0,100.0
MEVChargeHook,1362,100.0,100.0
MEVChargeHook,1363,30.0,30.0
MEVChargeHook,1363,30.0,30.0
MEVChargeHook,1364,30.0,30.0
MEVChargeHook,1366,30.0,30.0
MEVChargeHook,1369,100.0,100.0
MEVChargeHook,1369,100.0,100.0
MEVChargeHook,1370,100.0,100.0
MEVChargeHook,1373,100.0,100.0
MEVChargeHook,1374,100.0,100.0
MEVChargeHook,1375,100.0,100.0
MEVChargeHook,1380,30.0,30.0
MEVChargeHook,1381,30.0,30.0
MEVChargeHook,1381,30.0,30.0
MEVChargeHook,1385,100.0,100.0
MEVChargeHook,1386,100.0,100.0
MEVChargeHook,1387,100.0,100.0
MEVChargeHook,1387,100.0,100.0
MEVChargeHook,1388,100.0,100.0
MEVChargeHook,1389,100.0,100.0
MEVChargeHook,1390,30.0,30.0
MEVChargeHook,1393,30.0,30.0
MEVChargeHook,1396,100.0,100.0
MEVChargeHook,1397,100.0,100.0
MEVChargeHook,1397,30.0,30.0
MEVChargeHook,1406,30.0,30.0
MEVChargeHook,1408,30.0,30.0
MEVChargeHook,1410,30.0,30.0
MEVChargeHook,1410,30.0,30.0
MEVChargeHook,1412,30.0,30.0
MEVChargeHook,1413,30.0,30.0
MEVChargeHook,1413,30.0,30.0
MEVChargeHook,1416,100.0,100.0
MEVChargeHook,1419,100.0,100.0
MEVChargeHook,1423,30.0,30.0
MEVChargeHook,1426,30.0,30.0
MEVChargeHook,1428,30.0,30.0
MEVChargeHook,1431,30.0,30.0
MEVChargeHook,1432,30.0,30.0
MEVChargeHook,1432,30.0,30.0
MEVChargeHook,1433,30.0,30.0
MEVChargeHook,1435,100.0,100.0
MEVChargeHook,1435,100.0,100.0
MEVChargeHook,1437,100.0,100.0
