policy,regime,gas_price_wei,valuation,median,ci_low,ci_high,n_windows
VolatilityHook,high,5000000000,net_result_delta,373.6561716273259,-32.158559691941264,689.3075682192366,48
VolatilityHook,high,5000000000,net_result_tt_delta,375.3295207653084,238.59562043615915,601.9758559435327,48
VolatilityHook,high,20000000000,net_result_delta,-153.33122641487262,-361.61624297862363,139.02114250107115,48
VolatilityHook,high,20000000000,net_result_tt_delta,-66.83246948488363,-208.8609474238517,135.1171956480175,48
VolatilityHook,high,80000000000,net_result_delta,-231.28582273258598,-493.55341056482575,161.76954927716912,48
VolatilityHook,high,80000000000,net_result_tt_delta,-130.4135840371166,-361.2045563721126,91.28716309434022,48
VolatilityHook,mid,5000000000,net_result_delta,-109.64732931912943,-200.308885966836,-27.774257932378532,48
VolatilityHook,mid,5000000000,net_result_tt_delta,-86.13864554978011,-156.42795399228817,-50.44617987199979,48
VolatilityHook,mid,20000000000,net_result_delta,-396.59966178530044,-464.15040205367586,-304.22225190160896,48
VolatilityHook,mid,20000000000,net_result_tt_delta,-366.4782582619008,-457.9175771309565,-248.67712160693145,48
VolatilityHook,mid,80000000000,net_result_delta,-300.9830537140689,-449.72041735022617,-237.31108351021294,48
VolatilityHook,mid,80000000000,net_result_tt_delta,-245.7416834732986,-358.1598540214221,-190.94802988249944,48
VolatilityHook,low,5000000000,net_result_delta,-199.3921067688592,-248.419829228791,-157.47772198644816,48
VolatilityHook,low,5000000000,net_result_tt_delta,-173.34255027401446,-221.63160710674651,-130.42667306208318,48
VolatilityHook,low,20000000000,net_result_delta,-320.06454452513753,-381.9287407716274,-279.5926922951653,48
VolatilityHook,low,20000000000,net_result_tt_delta,-291.3229356398535,-318.621667676558,-238.2457274804583,48
VolatilityHook,low,80000000000,net_result_delta,-220.79253230961731,-376.9253044986685,-173.39250956623425,48
VolatilityHook,low,80000000000,net_result_tt_delta,-158.0195721700304,-256.71011235747926,-121.11368666361875,48
BAHook,high,5000000000,net_result_delta,870.4747737112607,571.0605933811585,1475.196455621639,48
BAHook,high,5000000000,net_result_tt_delta,952.1592169387245,756.0258214764988,1192.7834807643467,48
BAHook,high,20000000000,net_result_delta,341.3622871528996,47.69567698382161,1488.3605612970205,48
BAHook,high,20000000000,net_result_tt_delta,590.8207067316894,418.4706109244735,761.723157827792,48
BAHook,high,80000000000,net_result_delta,-0.02205773264540767,-427.33602024588345,309.5957089542371,48
BAHook,high,80000000000,net_result_tt_delta,60.24412945058009,-94.0925986943214,283.9706595138899,48
BAHook,mid,5000000000,net_result_delta,6.240748483401148,-106.36476750728707,118.81932528296602,48
BAHook,mid,5000000000,net_result_tt_delta,216.61807246682156,125.37423699202373,295.0520949784059,48
BAHook,mid,20000000000,net_result_delta,-185.48164544693563,-248.10573941909297,-57.517990964090586,48
BAHook,mid,20000000000,net_result_tt_delta,-73.4506593321372,-151.57113566418457,-22.85633151810964,48
BAHook,mid,80000000000,net_result_delta,-351.04669449105995,-428.7736445008818,-237.4401507556979,48
BAHook,mid,80000000000,net_result_tt_delta,-185.07841888154576,-261.60162469078307,-115.82082533407669,48
BAHook,low,5000000000,net_result_delta,-88.20117232169673,-141.49683105391796,-18.149999712765293,48
BAHook,low,5000000000,net_result_tt_delta,64.76821432843929,11.869830708939844,109.62688568632711,48
BAHook,low,20000000000,net_result_delta,-176.28548891833532,-229.45913687100676,-69.81446005522139,48
BAHook,low,20000000000,net_result_tt_delta,-83.86345188116087,-118.89609254722043,-22.21764562118966,48
BAHook,low,80000000000,net_result_delta,-180.73643869033288,-240.06504524265148,-127.46512019792186,48
BAHook,low,80000000000,net_result_tt_delta,-98.3821838508957,-132.21389445925294,-65.54405110011339,48
DAHook,high,5000000000,net_result_delta,352.02857585635957,32.52299447158475,702.681260713769,48
DAHook,high,5000000000,net_result_tt_delta,467.2172228731624,235.5421602870747,649.2001549061813,48
DAHook,high,20000000000,net_result_delta,6.96292627091816,-108.16375952283852,265.41832847264413,48
DAHook,high,20000000000,net_result_tt_delta,46.96469772762407,-34.85455042704734,183.67933399792128,48
DAHook,high,80000000000,net_result_delta,-249.02595233240527,-435.76576699910584,-127.13006571636652,48
DAHook,high,80000000000,net_result_tt_delta,-208.69807731501623,-296.0024831107063,-102.98932734565278,48
DAHook,mid,5000000000,net_result_delta,-103.89083730779475,-175.46418093304965,-51.134887022836665,48
DAHook,mid,5000000000,net_result_tt_delta,18.661762158308193,-21.273133212549737,55.81744795249642,48
DAHook,mid,20000000000,net_result_delta,-160.13167530224825,-207.11851643516002,-116.64276892403859,48
DAHook,mid,20000000000,net_result_tt_delta,-92.79820524627871,-139.3984951920711,-40.943383296684146,48
DAHook,mid,80000000000,net_result_delta,-199.99913511439047,-259.3008825164402,-162.18078598433203,48
DAHook,mid,80000000000,net_result_tt_delta,-124.41749961931609,-181.78842862663458,-77.3482769870979,48
DAHook,low,5000000000,net_result_delta,-96.50680968016411,-119.0538666106986,-39.34800402977976,48
DAHook,low,5000000000,net_result_tt_delta,-2.1406391097914366,-27.615321435445935,27.36559937319305,48
DAHook,low,20000000000,net_result_delta,-150.83024105962477,-170.35292218720406,-96.34483324550558,48
DAHook,low,20000000000,net_result_tt_delta,-88.88033267775438,-106.67590374709289,-56.06601750569985,48
DAHook,low,80000000000,net_result_delta,-87.21655057096172,-120.36611180819614,-36.2586808231074,48
DAHook,low,80000000000,net_result_tt_delta,-36.299898634882396,-70.19470325317849,-18.27769078843869,48
ABHook,high,5000000000,net_result_delta,-148.80270704563702,-231.19270451732518,-108.24493174492272,48
ABHook,high,5000000000,net_result_tt_delta,-162.7428054641648,-205.37970913153458,-125.57086363316739,48
ABHook,high,20000000000,net_result_delta,-373.21150494229096,-552.7305606893788,-320.8843947428313,48
ABHook,high,20000000000,net_result_tt_delta,-411.65041629798793,-473.0367946327033,-312.95638071779376,48
ABHook,high,80000000000,net_result_delta,-579.16249507463,-715.1745715983552,-392.99294568328787,48
ABHook,high,80000000000,net_result_tt_delta,-537.125374735565,-754.9753053616464,-379.3139553083811,48
ABHook,mid,5000000000,net_result_delta,-129.41102445878323,-136.61463600612478,-101.35973966253732,48
ABHook,mid,5000000000,net_result_tt_delta,-117.01672560144789,-134.1450874278371,-103.84112503360393,48
ABHook,mid,20000000000,net_result_delta,-195.503790820841,-250.46482748011294,-166.39415252819924,48
ABHook,mid,20000000000,net_result_tt_delta,-217.99787474314564,-246.33400006925694,-167.71539170312542,48
ABHook,mid,80000000000,net_result_delta,-254.4096447392035,-339.801193892514,-183.72583744619624,48
ABHook,mid,80000000000,net_result_tt_delta,-244.5943771093256,-274.94884713944134,-141.40138134369704,48
ABHook,low,5000000000,net_result_delta,-82.4470607020553,-117.5468962871737,-65.63168912088554,48
ABHook,low,5000000000,net_result_tt_delta,-91.33701755529773,-110.69828214291465,-80.64146963546727,48
ABHook,low,20000000000,net_result_delta,-176.74880420066782,-199.0058868113647,-136.86575201305277,48
ABHook,low,20000000000,net_result_tt_delta,-169.55038269934334,-199.563969425305,-119.60474738409175,48
ABHook,low,80000000000,net_result_delta,-107.13675236334029,-190.45063385561798,-82.48739022498262,48
ABHook,low,80000000000,net_result_tt_delta,-75.34579567621304,-127.59803774613218,-52.08683687333619,48
MEVChargeHook,high,5000000000,net_result_delta,-155.54730966793431,-448.0071148343086,223.50802839320068,48
MEVChargeHook,high,5000000000,net_result_tt_delta,-108.27814156015597,-398.691370274837,441.3821095836188,48
MEVChargeHook,high,20000000000,net_result_delta,-337.9993922878293,-549.4974262495107,359.1679474256721,48
MEVChargeHook,high,20000000000,net_result_tt_delta,-119.92156087476053,-458.30070700248007,416.53310290914305,48
MEVChargeHook,high,80000000000,net_result_delta,-265.9053040301783,-698.9691689317533,168.50134523257566,48
MEVChargeHook,high,80000000000,net_result_tt_delta,-10.297071135653496,-653.1881355339594,341.4608534519314,48
MEVChargeHook,mid,5000000000,net_result_delta,-133.93324850266026,-317.48608398581837,-54.46011047863067,48
MEVChargeHook,mid,5000000000,net_result_tt_delta,-155.41072484545793,-276.6111485341812,-70.9640024275161,48
MEVChargeHook,mid,20000000000,net_result_delta,-196.5342907795541,-289.2775663605998,-98.83954486498851,48
MEVChargeHook,mid,20000000000,net_result_tt_delta,-222.52252914655685,-268.7383833251479,-149.36052832493374,48
MEVChargeHook,mid,80000000000,net_result_delta,-227.6129062832499,-361.14606980360617,-93.64908727643176,48
MEVChargeHook,mid,80000000000,net_result_tt_delta,-124.28481244437441,-343.79748660817944,16.2159488779794,48
MEVChargeHook,low,5000000000,net_result_delta,-165.49383899413147,-244.06296732921373,-93.90813572639127,48
MEVChargeHook,low,5000000000,net_result_tt_delta,-83.92835096858965,-199.96695655720134,-26.41329058742042,48
MEVChargeHook,low,20000000000,net_result_delta,-183.68657321980925,-347.7092507208836,-116.49941524704218,48
MEVChargeHook,low,20000000000,net_result_tt_delta,-127.80827134276115,-218.62659040931555,-86.97665898637422,48
MEVChargeHook,low,80000000000,net_result_delta,-197.78591907050702,-319.2859405842746,-125.27304291140643,48
MEVChargeHook,low,80000000000,net_result_tt_delta,-101.93607133800651,-201.36974550263176,9.629225290887476,48
