trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
325,697,1.0685809364452232,18.49,9.24,9.24
326,699,1.0625272624256665,19.18,9.6,9.6
327,704,1.0592125468370388,25.28,12.67,12.67
328,707,1.0568650475845862,23.8,11.92,11.92
329,710,1.053671040836623,27.12,13.59,13.59
330,712,1.0642441412044366,36.21,18.1,18.1
331,714,1.064577084700049,19.66,9.82,9.82
332,716,1.0677984303640313,24.88,12.43,12.43
333,719,1.0538064820493755,53.78,27.03,27.03
334,720,1.0517241804527409,36.98,18.55,18.55
335,723,1.0515976827737483,19.16,9.59,9.59
336,724,1.0487989302240217,22.96,11.5,11.5
337,726,1.0566628187896445,25.79,12.89,12.89
338,728,1.0626195224705264,40.85,20.42,20.42
339,729,1.068963129817641,49.97,24.98,24.98
340,735,1.0674998801378073,18.16,9.07,9.07
341,740,1.0713163370598822,26.85,13.42,13.42
342,741,1.0734422870947553,23.3,11.64,11.64
343,742,1.0764953838046605,25.79,12.89,12.89
344,743,1.0832482946275463,43.98,21.98,21.98
345,744,1.0846969024942241,28.63,14.31,14.31
346,751,1.0886866511173674,32.58,16.28,16.28
347,754,1.0962968935193345,50.88,25.43,25.43
348,755,1.1006570961791524,45.14,22.56,22.56
349,756,1.108254347931988,56.69,28.34,28.34
350,757,1.109560838854554,34.19,17.09,17.09
351,758,1.1227055488512945,75.43,37.71,37.71
352,759,1.1353405013430413,92.93,46.46,46.46
353,760,1.1350552141296375,45.21,22.6,22.6
354,763,1.1340683249580148,18.27,9.13,9.13
355,767,1.1196890292434976,54.95,27.62,27.62
356,768,1.1202558537951783,25.08,12.57,12.57
357,770,1.111961899067859,49.95,25.1,25.1
358,771,1.109839140546807,34.71,17.41,17.41
359,772,1.106653594854283,31.85,15.97,15.97
360,777,1.1165553335316467,28.5,14.24,14.24
361,781,1.1030917510566858,46.6,23.4,23.4
362,788,1.117675787139112,42.13,21.06,21.06
363,791,1.1065554524351295,28.97,14.52,14.52
364,794,1.1004539828141426,42.33,21.25,21.25
365,795,1.0973917740931014,35.26,17.69,17.69
366,796,1.0961764223467918,23.25,11.65,11.65
367,799,1.1035257174591984,21.72,10.85,10.85
368,802,1.1077023766541159,29.67,14.83,14.83
369,803,1.115250288772017,48.57,24.28,24.28
370,807,1.1138225293532793,17.9,8.94,8.94
371,812,1.1043312178227092,33.94,17.02,17.02
372,817,1.1136642485991983,25.01,12.5,12.5
373,821,1.115783222143795,21.97,10.98,10.98
374,822,1.1206611148802292,32.7,16.34,16.34
375,823,1.1225666664921412,24.8,12.39,12.39
376,826,1.109455718079342,46.54,23.37,23.37
377,828,1.11063503116692,18.04,9.03,9.03
378,831,1.1085981823540032,18.23,9.13,9.13
379,834,1.1031675247277608,33.79,16.95,16.95
380,835,1.089653738059947,79.17,39.9,39.9
381,836,1.088280728174004,46.25,23.23,23.23
382,840,1.0878716296792112,25.12,12.59,12.59
383,841,1.0817835956204824,40.8,20.48,20.48
384,842,1.077595197265355,39.99,20.07,20.07
385,855,1.091402412809876,43.43,21.71,21.71
386,857,1.103061374320931,74.33,37.16,37.16
387,862,1.0995765427875797,21.43,10.71,10.71
388,866,1.1026446852004628,24.59,12.29,12.29
389,869,1.095042114127762,22.33,11.18,11.18
390,870,1.0901136207629303,33.84,16.97,16.97
391,871,1.088984973095272,22.17,11.1,11.1
392,877,1.095882795433348,20.43,10.21,10.21
393,882,1.0990262505576063,24.48,12.23,12.23
394,883,1.106374679715414,45.36,22.67,22.67
395,885,1.1068508647603945,24.82,12.4,12.4
396,886,1.0995246691768537,20.82,10.43,10.43
397,895,1.10729982280538,24.75,12.37,12.37
398,898,1.1114728245246808,31.1,15.54,15.54
